"concentration","sample","SequencingCenter","tissue_or_organ_of_origin","TCGA.code","platform","tissue_source_site","ffpe.status","file_id.expression","artbatch"
0.15,"d305150e-11e9-4ec7-9fe4-c1ab01c4fdde","UNC","Cecum","COAD","Illumina","MSKCC",FALSE,"dc0e73f1-f148-4df1-b4b8-b98acb317938","MSKCCFALSE"
0.14,"76083065-80bd-4549-a157-27eac51b4ca2","UNC","Sigmoid colon","COAD","Illumina","Indivumed",FALSE,"4e9f816d-3308-46da-a382-5f6036cba0a3","IndivumedFALSE"
0.14,"64e2ce46-ac77-4587-a455-97b935807344","UNC","Cecum","COAD","Illumina","Harvard",FALSE,"d46a69bd-ff12-40b2-826d-1ee27bc1c1e9","HarvardFALSE"
0.15,"afe6dd5c-a32e-4ba8-a9b5-154b27a9513b","UNC","Ascending colon","COAD","Illumina","MSKCC",FALSE,"7d941107-78d0-4d60-9e0f-616cd9291595","MSKCCFALSE"
0.18,"cbbd47c7-cc50-479d-a1a9-7199f0bdb9eb","UNC","Cecum","COAD","Illumina","University of Sao Paulo",FALSE,"b9931eed-6cab-430e-8297-80b9ea3d3d60","University of Sao PauloFALSE"
0.15,"c73f13d8-98ce-4447-b735-2ea883e617a2","UNC","Cecum","COAD","Illumina","Indivumed",FALSE,"d32f20b8-188f-4ad2-a197-f08311cdb58f","IndivumedFALSE"
0.15,"c3cd3c74-f88a-4394-9240-d4b5b754c070","UNC","Sigmoid colon","COAD","Illumina","Roswell Park",FALSE,"ee05efb7-b254-44e2-ac1d-92d55aedd32b","Roswell ParkFALSE"
0.15,"53654dfb-9885-413a-b5bb-49b19a6a0f8c","UNC","Sigmoid colon","COAD","Illumina","Indivumed",FALSE,"ed52de66-66fa-44ce-b679-cf641b0d92cd","IndivumedFALSE"
0.16,"488b0103-138b-4004-8b3e-0b225c6949e7","UNC","Colon, NOS","COAD","Illumina","University Of Michigan",FALSE,"4ab22000-618c-4f81-95ef-c22997965b53","University Of MichiganFALSE"
0.15,"512994a9-2bf7-4fe3-994c-f2a80c57b0f1","UNC","Colon, NOS","COAD","Illumina","MSKCC",FALSE,"a59a1926-dbfa-499f-8b3b-8e5e156874a3","MSKCCFALSE"
0.16,"119b17ed-2483-44d3-b718-b7c04b290be2","UNC","Colon, NOS","COAD","Illumina","Christiana Healthcare",FALSE,"ecc90bd1-f594-41ea-ba4b-d42f4c64880b","Christiana HealthcareFALSE"
0.16,"356d566e-5299-4cd7-8e2d-1ace197788c3","UNC","Transverse colon","COAD","Illumina","Christiana Healthcare",TRUE,"d43da26a-c29a-43cc-a34a-838ed0f6648d","Christiana HealthcareTRUE"
0.16,"e8991548-d285-4236-bb3a-d9109deae7d1","UNC","Retroperitoneum","COAD","Illumina","University Of Michigan",FALSE,"2c000a18-9a1b-41d1-a138-a5ae0d56f78c","University Of MichiganFALSE"
0.15,"c9eebf0c-3768-43a1-b5c5-874a0d4843c2","UNC","Rectosigmoid junction","COAD","Illumina","Indivumed",FALSE,"d26ade8b-3949-40ca-bfa0-042cc0a91e48","IndivumedFALSE"
0.15,"161c6383-b582-488a-8603-85ff3a54cb7c","UNC","Colon, NOS","COAD","Illumina","Roswell Park",FALSE,"d57f60e8-86c4-4ca7-93aa-c1f8283b3dd8","Roswell ParkFALSE"
0.15,"8d48bb5a-7e4e-4bd8-90e9-a300fdb503a9","UNC","Ascending colon","COAD","Illumina","MSKCC",FALSE,"8d461f02-0a2c-4dac-ab51-463f6d06399a","MSKCCFALSE"
0.15,"53a795d9-cf28-4d5e-9d2a-c1fed7a7f6e7","UNC","Sigmoid colon","COAD","Illumina","Indivumed",FALSE,"2bf26f13-dfd4-4ecc-92b5-dd97600092dc","IndivumedFALSE"
0.15,"f5f8e1c4-4ee2-4f72-9265-37c988d3af7d","UNC","Rectosigmoid junction","COAD","Illumina","Christiana Healthcare",FALSE,"56799176-91f5-4427-bbea-47ca0668e71f","Christiana HealthcareFALSE"
0.16,"4c21ac2c-6952-4ea6-87f0-c542f4ba8c54","UNC","Cecum","COAD","Illumina","Indivumed",FALSE,"f3a41353-ad13-4133-a2c9-a06325b6d10d","IndivumedFALSE"
0.15,"a03c7cc5-b501-464c-826e-73fb010d5641","UNC","Retroperitoneum","COAD","Illumina","Indivumed",FALSE,"8d34b52a-3b23-4814-92cc-a65e4cb6721e","IndivumedFALSE"
0.15,"2460957c-1d55-4afe-9ad3-76b67ccd12fa","UNC","Uterus, NOS","COAD","Illumina","International Genomics Consortium",FALSE,"a03c828d-7cfb-484b-9cb9-84ffe9b6644b","International Genomics ConsortiumFALSE"
0.15,"062cfb2a-c26d-4148-9804-5e81b04f1c5f","UNC","Sigmoid colon","COAD","Illumina","ILSBio",FALSE,"6239af26-74b6-4c31-8a99-e9603d24b856","ILSBioFALSE"
0.15,"edd0e489-1c98-421a-8469-0f252b6ebab5","UNC","Cecum","COAD","Illumina","Indivumed",FALSE,"69497f67-9fce-468a-8449-b4479d539fe0","IndivumedFALSE"
0.18,"945c6670-9e72-4e85-b391-15d6f72f6e09","UNC","Colon, NOS","COAD","Illumina","BLN - Baylor",FALSE,"ce9aa48c-583a-4c1e-95fa-9b552a263273","BLN - BaylorFALSE"
0.15,"1e9ce73e-61f8-4a99-a734-b09363ec73e7","UNC","Connective, subcutaneous and other soft tissues of trunk, NOS","COAD","Illumina","St. Joseph's Medical Center-(MD)",FALSE,"476fabde-4545-4a03-a72e-bef7390e06da","St. Joseph's Medical Center-(MD)FALSE"
0.15,"ac78ce0f-45f9-4517-97c1-f32525142093","UNC","Colon, NOS","COAD","Illumina","Greater Poland Cancer Center",FALSE,"7396a04b-65d1-40cb-b666-9c2d45aef72c","Greater Poland Cancer CenterFALSE"
0.18,"7a7e8f81-f0fb-497c-85b3-80a2c805b456","UNC","Rectosigmoid junction","COAD","Illumina","University of Kansas",FALSE,"90155b66-0063-49ee-9cde-a9266cc1418b","University of KansasFALSE"
0.14,"26f770ed-c226-47f3-8300-474cc5b068c6","UNC","Uterus, NOS","COAD","Illumina","University of Pittsburgh",FALSE,"baf6f013-ebc0-4b37-afbd-1c4cf91d7f0e","University of PittsburghFALSE"
0.18,"f4a2081d-efeb-4bb1-9642-528243bd95bc","UNC","Connective, subcutaneous and other soft tissues of lower limb and hip","COAD","Illumina","University Of Michigan",FALSE,"574a3ef3-ea84-45f4-b20d-8b3d2b172793","University Of MichiganFALSE"
0.14,"5747c9c4-fb2a-4134-bb1d-208d688a4ae0","UNC","Sigmoid colon","COAD","Illumina","MSKCC",FALSE,"a5eaf68d-07e0-43a7-b5bd-4923883bc670","MSKCCFALSE"
0.15,"1cb9713c-0921-473c-a638-c3b520656316","UNC","Colon, NOS","COAD","Illumina","Christiana Healthcare",FALSE,"da452f3b-fdec-424f-9a2f-add014317131","Christiana HealthcareFALSE"
0.14,"4413144e-0daa-4c76-99ef-26c3447f426e","UNC","Colon, NOS","COAD","Illumina","Indivumed",FALSE,"def0b61c-213e-409a-8a3b-75ed2d8310db","IndivumedFALSE"
0.15,"7ad783d3-3f3e-44f5-936c-43575fc7f607","UNC","Cecum","COAD","Illumina","MSKCC",FALSE,"ba14051f-ec0f-463d-8ddc-d43970bdac52","MSKCCFALSE"
0.16,"b7b46e6b-dbe6-4510-8faa-9df4c51955a5","UNC","Transverse colon","COAD","Illumina","Greater Poland Cancer Center",FALSE,"d978d2ae-31bc-4955-8f4c-7e007f37162e","Greater Poland Cancer CenterFALSE"
0.17,"1c58a3af-fda0-4b1c-ae7c-afab9921ccf2","UNC","Hepatic flexure of colon","COAD","Illumina","UNC",FALSE,"a9fa48a0-fe15-4f94-a579-f6f53c5da48d","UNCFALSE"
0.14,"52889650-1acb-4fac-879c-91499850c10a","UNC","Sigmoid colon","COAD","Illumina","Roswell Park",FALSE,"4959d63f-248f-4975-8bca-7f9add59f085","Roswell ParkFALSE"
0.15,"04c851fd-153b-4707-8f67-0aa6cc82eaa5","UNC","Colon, NOS","COAD","Illumina","Christiana Healthcare",FALSE,"19d9ecf8-e540-4a8c-8ed5-529b737107a3","Christiana HealthcareFALSE"
0.14,"d8c9530f-19c0-4c82-886f-e8f0a4cb252b","UNC","Transverse colon","COAD","Illumina","Christiana Healthcare",FALSE,"c4e01288-63c7-4187-a766-e6f9905ab139","Christiana HealthcareFALSE"
0.15,"b9529784-8475-4460-bdd5-7cd72f13d93d","UNC","Hepatic flexure of colon","COAD","Illumina","MSKCC",FALSE,"a1c167cf-0f2c-49ef-8144-b3acea3ac107","MSKCCFALSE"
0.15,"b1f7c9bf-daa2-485d-b849-ad74c6e49c45","UNC","Retroperitoneum","COAD","Illumina","Indivumed",FALSE,"260edc5e-1ca6-4b07-b96d-59594d03ac54","IndivumedFALSE"
0.16,"d5cad692-1850-45cc-8191-77ad568e6fdc","UNC","Uterus, NOS","COAD","Illumina","Indivumed",FALSE,"ad973222-a5f4-44c3-a2ed-21ecc1f9b8ae","IndivumedFALSE"
0.14,"34692553-cc9e-454e-a003-85618f12e15b","UNC","Rectum, NOS","COAD","Illumina","Indivumed",FALSE,"7b15a87a-805c-4b8a-84de-549cec9c44e3","IndivumedFALSE"
0.18,"c1c36a5e-5410-45ef-8954-70c26ef27066","UNC","Colon, NOS","COAD","Illumina","Albert Einstein Medical Center",FALSE,"035f5d67-53a5-4ef7-a503-aa9b09e59c1d","Albert Einstein Medical CenterFALSE"
0.16,"d9ecc507-020c-4ae6-866e-b392b908d028","UNC","Sigmoid colon","COAD","Illumina","Christiana Healthcare",FALSE,"8b7642ab-bdf5-4d36-98d5-8cbc788f7952","Christiana HealthcareFALSE"
0.16,"55969965-7cdc-4487-b55b-4e1972c9f6a0","UNC","Retroperitoneum","COAD","Illumina","University Of Michigan",FALSE,"0d53cb1c-97c4-4088-9e43-029de88fd66d","University Of MichiganFALSE"
0.12,"9ebf2c7e-9d60-40d9-a245-7890824a0e1e","UNC","Cecum","COAD","Illumina","Indivumed",FALSE,"107859fd-d01f-4225-941a-e3eb91f8dff3","IndivumedFALSE"
0.15,"162f72ff-6995-41cf-9f18-8c64ac32f142","UNC","Rectum, NOS","COAD","Illumina","Indivumed",FALSE,"98288606-9562-4e9f-81e1-c732ca5706a8","IndivumedFALSE"
0.17,"b0c581f4-3884-4f52-b523-a639f8785f6f","UNC","Splenic flexure of colon","COAD","Illumina","Candler",FALSE,"1100e746-ee79-4790-ac8f-b6a7db94f0a5","CandlerFALSE"
0.17,"b11b6757-d25d-4f06-b9a4-b495bd9c6caf","UNC","Ascending colon","COAD","Illumina","Christiana Healthcare",FALSE,"b3c386da-4df7-4944-b01b-aa2d6a3ce306","Christiana HealthcareFALSE"
0.15,"0aa646ec-ad04-4745-b768-ce1faab4cfbd","UNC","Rectosigmoid junction","COAD","Illumina","Harvard",FALSE,"0b0677ec-0f18-43a3-bceb-e6ee4a39dd65","HarvardFALSE"
0.15,"c7672ae4-5d9d-4f82-b24c-97b306e833a6","UNC","Splenic flexure of colon","COAD","Illumina","Indivumed",FALSE,"8bfacf5c-ce6a-457e-8c7d-c4d98cbeee49","IndivumedFALSE"
0.16,"4b10fdee-3623-44cc-8c65-68e766383d2e","UNC","Colon, NOS","COAD","Illumina","Roswell Park",FALSE,"3b9a34ee-3fb1-43d4-ae30-45a6b7fff7bc","Roswell ParkFALSE"
