"sample","buffa.score"
"001a2541-a9d3-4811-97bf-d8fcd89b4c66",27
"001c6345-176c-4ab3-a0c8-27384879a8ff",-11
"004163ae-f9f8-45a5-bfb0-25ac0708fa57",11
"00853151-d266-42a3-8690-5b9751dd9647",9
"008f1fdc-a5e4-4094-a987-bccc44d5a7c7",-31
"0090d3a6-7151-4777-9dcd-2d1182fc8d41",35
"0096f6b3-94f5-49d9-aa43-66d9ab6b2b5c",37
"00e3c529-4162-4d0e-9d97-ec806a40e345",-5
"00f5e705-ae00-440e-8e18-9c15726d48c6",-1
"0111ac83-559d-4e7f-b416-b8d83682a2c1",-25
"0135d5dd-4363-4594-b8bb-16cd7f38e8a6",-23
"0135dd7f-9380-4be9-880a-2cdeaab8c10d",-19
"0192d659-13f7-468c-9120-36351b0dc2ca",-17
"01ad764b-a8a2-4d59-b77e-c6e4f2c425f3",1
"01f5a228-a2cf-444f-8102-a9d4a2d9a27d",21
"02186507-4f13-48b3-aff2-888f8445ff18",13
"02346d84-b666-416c-a537-fde40133460b",5
"023d8644-34e2-4fd2-926d-20f0a7c9b4c9",-33
"02425961-7ed2-40c0-9b61-4d63b3a61f94",-41
"02447964-13d3-4eef-a189-0c27ac20eafc",-7
"024d37ff-309d-470c-8fff-72f94bf4b41e",-35
"0255b5b2-56ea-4e04-9e1b-838235eac0a0",23
"02566c4e-e3d2-43eb-aca3-754c1bd5bd5f",17
"025cab33-0b42-440c-9cca-a746e7d4022b",5
"02734d4d-fc8f-4ef7-ac82-1b4d7184cc5e",25
"029ffdfa-c2ff-439e-be14-a7b68342fbdb",-11
"02b0093c-2ab3-4213-a5df-ac526ed1d973",19
"02d4cebf-e7f6-4c13-aca1-af16fd6d69cb",29
"02d77118-5faa-4160-ba5b-73834f111fc0",-11
"031cf2a5-74e0-4b5f-98bd-da60628c0854",-23
"031e2bfe-03f2-4e9b-b586-73746c5e29cf",-37
"0330210e-0c1d-4e5d-82c0-732770bfea7b",31
"033d33b6-1154-4a1a-b0f1-04381c6f99da",1
"035f5d67-53a5-4ef7-a503-aa9b09e59c1d",31
"039ccbdc-6daa-4fa3-bf07-2b0f887fee2e",21
"03a80611-8b1b-4910-86bc-12c31d6049e2",-15
"03c96490-0f2c-4cab-82b8-b72dfe1be76d",17
"042bda3d-77aa-4522-8a97-c121711a760e",29
"044bcb07-5c54-4d1b-9d81-5e3ee2bcbc26",35
"04582727-ece3-4eec-90ba-638df8b66f19",-33
"045cf700-b495-4240-bd2d-8e796e657e32",13
"046544c1-f998-49b8-b4de-9f119ad9a2e6",-31
"04b2bc19-944b-489f-9063-7a5d4a3dc92e",13
"04bee3c2-78f8-4345-b712-36f7b3a59753",7
"04d7ee0b-95ce-4af2-8140-547e9c6bd187",37
"04ddcbe3-f123-45ac-a1a9-c8509cf5d3a6",15
"04df4138-7069-4cdc-8152-13741a7fcdd9",-19
"04ee1d38-c95b-4c29-9a9c-979a5de72629",19
"04f74a69-ac54-4afa-89ad-d9bf49cf32c9",3
