"gene","Balbc.sig","Balbc.dir","Nude.sig","Nude.dir","SigCode","DirAgree","protein.name","submitted.name","pathway","protein.function","keywords"
"UniRef90_D1YE90","sig","pos","NA","pos","Balbc sig",TRUE,"Ornithine carbamoyltransferase",NA,NA,NA,"Transferase"
"UniRef90_E6D7W2","sig","pos","not","pos","Balbc sig",TRUE,"Transposase",NA,NA,NA,""
"UniRef90_Q6A5U5","sig","pos","not","pos","Balbc sig",TRUE,"50S ribosomal protein L32",NA,NA,NA,"Ribonucleoprotein;Ribosomal protein"
"UniRef90_W4THL1","sig","pos","sig","pos","Agree",TRUE,"Lipoprotein",NA,NA,NA,"Reference proteome"
"UniRef90_E6D7E5","sig","neg","not","pos","Balbc sig",FALSE,"Diguanylate cyclase",NA,NA,NA,""
"UniRef90_A0A085B160","not","pos","sig","pos","Nude sig",TRUE,"Helix-turn-helix domain-containing protein",NA,NA,NA,""
"UniRef90_A0A085B161","sig","pos","sig","neg","Disagree",FALSE,"MOSC domain-containing protein",NA,NA,NA,""
"UniRef90_A0A085B4L9","sig","pos","sig","pos","Agree",TRUE,NA,"Zn-dependent hydrolase",NA,NA,"Hydrolase"
"UniRef90_A0A085B4X3","not","pos","sig","neg","Nude sig",FALSE,"Pyridoxamine 5'-phosphate oxidase",NA,NA,NA,""
"UniRef90_A0A0G9GH67","not","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A1F0IH85","sig","pos","sig","pos","Agree",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A1F0IHP1","not","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A1N4VB68","not","pos","sig","neg","Nude sig",FALSE,NA,NA,NA,NA,""
"UniRef90_A0A1N4VJT0","sig","pos","sig","pos","Agree",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A1N4XE64","NA","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A1N4Y9X7","not","neg","sig","neg","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A1N5BI10","not","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A2B7I417","not","pos","sig","neg","Nude sig",FALSE,NA,"Amidase",NA,NA,""
"UniRef90_A0A2B7I5F4","NA","pos","sig","neg","Nude sig",FALSE,"Cytochrome c oxidase assembly factor 5",NA,NA,NA,""
"UniRef90_A0A2B7I5I5","not","pos","sig","pos","Nude sig",TRUE,NA,"DUF3017 domain-containing protein",NA,NA,""
"UniRef90_A0A2B7I5X1","sig","neg","sig","pos","Disagree",FALSE,NA,NA,NA,NA,""
"UniRef90_A0A2B7I643","not","pos","sig","neg","Nude sig",FALSE,"PMT_2 domain-containing protein",NA,"Glycolipid biosynthesis; glycosylphosphatidylinositol-anchor biosynthesis",NA,"Endoplasmic reticulum;Glycosyltransferase;Membrane;Transferase;Transmembrane;Transmembrane helix"
"UniRef90_A0A2B7I7L8","sig","pos","sig","pos","Agree",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A2B7I8Y6","not","pos","sig","neg","Nude sig",FALSE,NA,"FadR family transcriptional regulator",NA,NA,"DNA-binding;Transcription;Transcription regulation"
"UniRef90_A0A2B7I9M0","not","pos","sig","pos","Nude sig",TRUE,NA,"Uncharacterized protein",NA,NA,""
"UniRef90_A0A2B7I9Z5","not","pos","sig","neg","Nude sig",FALSE,NA,NA,NA,NA,""
"UniRef90_A0A2B7ICI2","not","pos","sig","pos","Nude sig",TRUE,"Transposase",NA,NA,NA,""
"UniRef90_A0A2B7ICQ7","not","pos","sig","neg","Nude sig",FALSE,NA,NA,NA,NA,""
"UniRef90_A0A2B7IDF7","not","pos","sig","neg","Nude sig",FALSE,NA,"Ornithine aminomutase",NA,NA,""
"UniRef90_A0A2B7IE15","sig","neg","sig","neg","Agree",TRUE,NA,"LacI family DNA-binding transcriptional regulator",NA,NA,"DNA-binding"
"UniRef90_A0A2B7IG44","not","pos","sig","pos","Nude sig",TRUE,NA,"DNA polymerase III subunit epsilon",NA,NA,""
"UniRef90_A0A2B7IGX0","not","neg","sig","neg","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A2B7IGX9","not","pos","sig","neg","Nude sig",FALSE,NA,"L-ribulose-5-phosphate 3-epimerase",NA,NA,""
"UniRef90_A0A2B7ITA5","NA","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A2B7IU29","not","neg","sig","neg","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A2B7IYY4","NA","neg","sig","pos","Nude sig",FALSE,NA,"Alcohol dehydrogenase",NA,NA,""
"UniRef90_A0A2B7J033","NA","neg","sig","neg","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A2B7J1I3","not","neg","sig","neg","Nude sig",TRUE,NA,"Uncharacterized protein",NA,NA,""
"UniRef90_A0A2B7JML4","not","neg","sig","neg","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A2B7JN79","not","neg","sig","neg","Nude sig",TRUE,"DUF3267 domain-containing protein",NA,NA,NA,""
"UniRef90_A0A2B7JNE0","NA","pos","sig","pos","Nude sig",TRUE,NA,"Uncharacterized protein",NA,NA,""
"UniRef90_A0A2B7JP34","not","neg","sig","pos","Nude sig",FALSE,"Transposase",NA,NA,NA,""
"UniRef90_A0A2B7JRC0","not","pos","sig","pos","Nude sig",TRUE,NA,"Transporter",NA,NA,"Membrane;Transmembrane;Transmembrane helix"
"UniRef90_A0A2B7JT03","NA","neg","sig","neg","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A2B7JWL0","not","pos","sig","neg","Nude sig",FALSE,"Secreted protein",NA,NA,NA,""
"UniRef90_A0A2C6LJ38","not","pos","sig","pos","Nude sig",TRUE,"Transposase",NA,NA,NA,""
"UniRef90_A0A2C6LJZ4","not","pos","sig","neg","Nude sig",FALSE,"Transposase",NA,NA,NA,""
"UniRef90_A0A2C6LLW8","not","pos","sig","neg","Nude sig",FALSE,NA,"SreG protein-coupled chemoreceptor family protein",NA,NA,"Receptor"
"UniRef90_A0A2M9XIX7","not","pos","sig","pos","Nude sig",TRUE,NA,"Uncharacterized protein",NA,NA,""
"UniRef90_A0A2M9XJ56","sig","pos","sig","neg","Disagree",FALSE,NA,"Uncharacterized protein",NA,NA,""
"UniRef90_A0A371N3I0","NA","neg","sig","neg","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A371N419","sig","pos","sig","neg","Disagree",FALSE,NA,NA,NA,NA,""
"UniRef90_A0A371N4M2","NA","neg","sig","pos","Nude sig",FALSE,NA,NA,NA,NA,""
"UniRef90_A0A371N4W5","not","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A371N5I6","not","pos","sig","neg","Nude sig",FALSE,NA,NA,NA,NA,""
