"sample","buffa.score","source","avg_z_score"
"GTEX-1117F-2426-SM-5EGGH",-15,"uterus",-0.40828229111264
"GTEX-1117F-2826-SM-5GZXL",-9,"breast",-0.262639833075934
"GTEX-1117F-3026-SM-5GZYU",15,"salivary",-0.0193004317396252
"GTEX-111CU-0226-SM-5GZXC",-15,"thyroid",-0.400636143976452
"GTEX-111CU-0326-SM-5GZXO",5,"lung",0.146324275595881
"GTEX-111CU-0626-SM-5EGHL",-21,"esophagus_mus",-0.286941239157354
"GTEX-111CU-0726-SM-5GZYD",13,"esophagus_muc",0.203212587081404
"GTEX-111CU-0826-SM-5EGIJ",-23,"esophagus_gas",-0.286384377298504
"GTEX-111CU-0926-SM-5EGIK",-7,"stomach",-0.312434247767376
"GTEX-111CU-1226-SM-5EGIN",-9,"colon",-0.23363878450087
"GTEX-111CU-1426-SM-5GZYP",19,"colon",0.216437825467052
"GTEX-111CU-1526-SM-5N9FS",-1,"prostate",-0.222109811007395
"GTEX-111FC-1026-SM-5GZX1",-31,"thyroid",-0.618298455930567
"GTEX-111FC-1126-SM-5GZWU",-21,"lung",-0.480319480971783
"GTEX-111FC-2026-SM-5GZYO",-31,"prostate",-0.537204942860231
"GTEX-111FC-2926-SM-5GZY7",1,"salivary",-0.166817209189413
"GTEX-111VG-0526-SM-5N9BW",-39,"thyroid",-0.680539577880252
"GTEX-111VG-0726-SM-5GIDC",-21,"lung",-0.359994490912742
"GTEX-111VG-2226-SM-5N9DU",-21,"colon",-0.414237474676742
"GTEX-111YS-0626-SM-5GZXV",-27,"lung",-0.571352855413705
"GTEX-111YS-0726-SM-5GZY8",-35,"thyroid",-0.510574957098575
"GTEX-111YS-0826-SM-5GZYK",-23,"esophagus_gas",-0.412829788199169
"GTEX-111YS-0926-SM-5EGGI",25,"esophagus_muc",0.210130278603073
"GTEX-111YS-1026-SM-5GZYE",-27,"esophagus_mus",-0.408597624501754
"GTEX-111YS-1126-SM-5GZYQ",-29,"stomach",-0.508663440885583
"GTEX-111YS-1626-SM-5GZZ9",-17,"colon",-0.335816702022835
"GTEX-111YS-1726-SM-5GIED",-19,"prostate",-0.435237852978524
"GTEX-111YS-1826-SM-5GIEP",-21,"colon",-0.329781708101972
"GTEX-1122O-0126-SM-5GICA",-25,"lung",-0.524695972495636
"GTEX-1122O-0226-SM-5N9DA",-31,"thyroid",-0.564388496517599
"GTEX-1122O-1226-SM-5H113",-27,"breast",-0.43438686427285
"GTEX-1122O-1426-SM-5H11R",-13,"colon",-0.266732190778911
"GTEX-1122O-1526-SM-5N9CL",-9,"colon",-0.32655685469281
"GTEX-1122O-1626-SM-5N9CX",-17,"esophagus_mus",-0.292869540213719
"GTEX-1122O-1726-SM-5GICM",9,"esophagus_muc",-0.0276803178630809
"GTEX-1122O-1826-SM-5EGIP",-25,"esophagus_gas",-0.49776247924041
"GTEX-1122O-1926-SM-5EGIQ",-29,"stomach",-0.52377591457395
"GTEX-1128S-0126-SM-5H12S",-27,"thyroid",-0.525462568006192
"GTEX-1128S-0726-SM-5N9D6",-13,"lung",-0.157117766000987
"GTEX-1128S-1626-SM-5H12O",21,"colon",0.0794105536795253
"GTEX-113JC-0126-SM-5EGJW",-31,"thyroid",-0.3596211070417
"GTEX-113JC-0926-SM-5H114",-17,"esophagus_mus",-0.293563003701536
"GTEX-113JC-1026-SM-5H117",-11,"esophagus_gas",-0.209823668139883
"GTEX-113JC-2226-SM-5EGJG",-27,"uterus",-0.554181326409869
"GTEX-117XS-0526-SM-5987Q",-31,"thyroid",-0.562611493487615
"GTEX-117XS-2226-SM-5GIE1",-23,"colon",-0.348611088193765
"GTEX-117YW-0126-SM-5EGGN",-37,"thyroid",-0.661327988497745
"GTEX-117YW-0526-SM-5H11C",-21,"lung",-0.594487564368547
"GTEX-117YW-1426-SM-5EGGO",-31,"prostate",-0.338595805121115
"GTEX-117YW-1826-SM-5PNY5",7,"colon",0.133631916171118
"GTEX-117YW-2026-SM-5N9BH",-13,"esophagus_mus",-0.331511013288822
"GTEX-117YW-2226-SM-5N9DB",-7,"stomach",-0.318058794341487
"GTEX-117YX-0526-SM-5EGJH",-11,"colon",-0.249016765760163
"GTEX-117YX-0826-SM-5H11J",-15,"colon",-0.238171112441808
"GTEX-117YX-1026-SM-5H11V",5,"stomach",-0.141904918869955
"GTEX-117YX-1226-SM-5H11S",-35,"thyroid",-0.650094848499593
"GTEX-117YX-1326-SM-5H125",-19,"lung",-0.467519104493319
"GTEX-117YX-1526-SM-5H12T",-21,"prostate",-0.375949845524573
"GTEX-117YX-1826-SM-5H12K",-21,"esophagus_mus",-0.340336388170285
"GTEX-1192W-0126-SM-5EGGS",-39,"thyroid",-0.685779395804274
"GTEX-1192X-1126-SM-5EGGU",-35,"thyroid",-0.64362003139602
"GTEX-1192X-1826-SM-5GIE2",-19,"esophagus_gas",-0.433961129414073
"GTEX-11DXX-0226-SM-5P9HL",-21,"thyroid",-0.360152179718718
"GTEX-11DXX-0626-SM-5Q5AG",-23,"lung",-0.431305716436981
"GTEX-11DXX-1026-SM-5H11E",-19,"esophagus_mus",-0.244881794706948
"GTEX-11DXX-1126-SM-5GZZK",31,"esophagus_muc",0.254506495367086
"GTEX-11DXX-1226-SM-5GICD",-7,"esophagus_gas",-0.155927167665172
"GTEX-11DXX-1326-SM-5GIDZ",5,"stomach",-0.245519109538758
"GTEX-11DXX-1526-SM-5H115",-13,"uterus",-0.264490667516157
"GTEX-11DXX-1826-SM-5H126",-5,"colon",-0.188106142561081
"GTEX-11DXX-1926-SM-5EGJK",-21,"colon",-0.322277890351209
"GTEX-11DXY-0426-SM-5H12R",-23,"thyroid",-0.463487213086731
"GTEX-11DXY-0526-SM-5EGGQ",-37,"liver",-0.715591837948553
"GTEX-11DXY-1326-SM-5987Z",-25,"esophagus_gas",-0.517181978686275
"GTEX-11DXY-1426-SM-5N9CN",-5,"esophagus_muc",-0.231325276622403
"GTEX-11DXY-1526-SM-5H129",-11,"esophagus_mus",-0.231887581621335
"GTEX-11DXY-2026-SM-5N9CZ",-27,"colon",-0.42736714107176
"GTEX-11DXZ-0126-SM-5EGGY",-31,"liver",-0.513132099964766
"GTEX-11DXZ-0726-SM-5N9C4",1,"lung",-0.11677977745333
"GTEX-11DXZ-0926-SM-5N9CG",-37,"thyroid",-0.671639369382438
"GTEX-11DXZ-1026-SM-5N9D5",-11,"esophagus_gas",-0.145069020178624
"GTEX-11DXZ-1226-SM-5H11L",15,"esophagus_muc",0.0688212984454713
"GTEX-11DXZ-1626-SM-5GIDI",-11,"colon",-0.120821241291382
"GTEX-11DXZ-1726-SM-5H12M",-3,"colon",-0.217911783507432
"GTEX-11DYG-0826-SM-5N9GH",-25,"thyroid",-0.521767229145176
"GTEX-11DYG-1326-SM-5N9DO",-7,"esophagus_muc",-0.301133400938564
"GTEX-11DYG-1426-SM-5A5JR",-17,"esophagus_mus",-0.299622390481432
"GTEX-11DYG-1926-SM-5H12I",-17,"esophagus_gas",-0.321105775947581
"GTEX-11DYG-2526-SM-5N9BB",-33,"prostate",-0.578248687936635
"GTEX-11DZ1-0426-SM-5H11A",-17,"lung",-0.326596706727871
"GTEX-11DZ1-2026-SM-5A5KG",1,"esophagus_muc",-0.208488541548488
"GTEX-11DZ1-2726-SM-5A5KH",-29,"thyroid",-0.570803620320853
"GTEX-11EI6-0726-SM-59866",-35,"thyroid",-0.618952764105847
"GTEX-11EI6-0826-SM-5985V",-27,"lung",-0.555405372821567
"GTEX-11EI6-2426-SM-5PNVS",-25,"stomach",-0.478903257194122
"GTEX-11EI6-2626-SM-5PNVT",-29,"colon",-0.404369428069675
"GTEX-11EM3-0126-SM-5985K",-29,"thyroid",-0.44304643757358
"GTEX-11EM3-0726-SM-5GZZM",-11,"esophagus_mus",-0.158813190617745
"GTEX-11EM3-0826-SM-5N9CC",29,"esophagus_muc",0.150155005216045
"GTEX-11EM3-0926-SM-5A5KK",-27,"esophagus_gas",-0.460125734930207
"GTEX-11EM3-1026-SM-5A5KL",-25,"stomach",-0.472366737510876
"GTEX-11EM3-1326-SM-5N9C6",-31,"breast",-0.544185995162412
"GTEX-11EM3-1526-SM-5A5KN",3,"colon",-0.0291341406995238
"GTEX-11EM3-1626-SM-5N9CO",5,"colon",0.002937581121756
"GTEX-11EM3-1926-SM-5987U",-15,"uterus",-0.303250406147452
"GTEX-11EMC-0126-SM-5EGKV",-13,"lung",-0.304722057964546
"GTEX-11EMC-0226-SM-5EGLP",-27,"thyroid",-0.535939321426335
"GTEX-11EMC-1426-SM-5N9E4",-21,"colon",-0.326175986009283
"GTEX-11EMC-1826-SM-5A5JT",-23,"uterus",-0.593870239278131
"GTEX-11EMC-2026-SM-5A5JV",-27,"breast",-0.543085948771575
"GTEX-11EQ8-0826-SM-5N9FG",-33,"thyroid",-0.637182734028075
"GTEX-11EQ9-0226-SM-5A5JX",-23,"lung",-0.381774311283107
"GTEX-11EQ9-0526-SM-5A5JZ",-11,"liver",-0.334235713784263
"GTEX-11EQ9-0626-SM-5A5K1",-33,"thyroid",-0.513333680132621
"GTEX-11EQ9-0726-SM-5A5K2",9,"esophagus_muc",-0.0217498072219727
"GTEX-11EQ9-0826-SM-5986Y",-23,"esophagus_mus",-0.344720466284027
"GTEX-11EQ9-0926-SM-5HL6I",-21,"esophagus_gas",-0.455528661674736
"GTEX-11EQ9-1226-SM-5987E",-5,"stomach",-0.106226931278801
"GTEX-11EQ9-1426-SM-5987G",-7,"colon",-0.255205326455958
"GTEX-11EQ9-1526-SM-5PNY7",-9,"colon",-0.156289518388566
"GTEX-11EQ9-1726-SM-5HL6U",-5,"prostate",-0.211061441195999
"GTEX-11EQ9-2026-SM-5P9JI",1,"salivary",-0.149244017847044
"GTEX-11GS4-0826-SM-5986J",-37,"thyroid",-0.60007712970634
"GTEX-11GS4-1826-SM-5HL4T",-19,"colon",-0.28909970687664
"GTEX-11GS4-2326-SM-5A5KS",-11,"kidney",-0.271141280218219
"GTEX-11GSP-0626-SM-5986T",-27,"liver",-0.720864623828257
"GTEX-11GSP-0726-SM-5986L",-13,"lung",0.207219711099065
"GTEX-11GSP-1626-SM-5986N",-19,"colon",-0.259397897291855
"GTEX-11GSP-1726-SM-5A5LI",-19,"esophagus_mus",-0.409857790860592
"GTEX-11GSP-1826-SM-5N9DQ",7,"esophagus_muc",0.284841356308096
"GTEX-11GSP-2126-SM-5HL5E",-11,"stomach",-0.214331490000769
"GTEX-11GSP-2426-SM-5N9BD",-29,"uterus",-0.482008780564011
"GTEX-11I78-0126-SM-5HL6F",-25,"lung",-0.448176091574731
"GTEX-11I78-0526-SM-5986A",-33,"thyroid",-0.513571064834224
"GTEX-11I78-1226-SM-5A5K6",-11,"colon",-0.250233656968737
"GTEX-11I78-1326-SM-5PNY9",3,"colon",-0.0638863169076564
"GTEX-11I78-1426-SM-5PNVY",-19,"esophagus_mus",-0.327018363006083
"GTEX-11I78-1726-SM-5A5M3",-21,"stomach",-0.376910672236099
"GTEX-11I78-2126-SM-5A5K8",-17,"uterus",-0.359256253025241
"GTEX-11I78-2226-SM-5PNYA",-17,"breast",-0.30413521501761
"GTEX-11LCK-0426-SM-5A5M8",-11,"lung",-0.253553744149787
"GTEX-11LCK-0526-SM-5A5M9",-33,"thyroid",-0.551323735637455
"GTEX-11LCK-1526-SM-5HL64",-21,"esophagus_gas",-0.327253951915103
"GTEX-11LCK-1626-SM-5PNYB",-13,"esophagus_mus",-0.243646531988749
"GTEX-11LCK-1726-SM-5S2OQ",33,"esophagus_muc",0.283059862653309
"GTEX-11LCK-2026-SM-5A5MA",-9,"colon",-0.284376737167892
"GTEX-11NSD-0126-SM-5987F",-39,"thyroid",-0.713482436888084
"GTEX-11NSD-0326-SM-5A5LS",-25,"lung",-0.445270419033517
"GTEX-11NSD-0826-SM-5986S",-35,"prostate",-0.57710514604434
"GTEX-11NSD-1126-SM-5N9BQ",17,"esophagus_muc",0.037476397233542
"GTEX-11NSD-1226-SM-5986Q",-31,"esophagus_mus",-0.326756830848748
"GTEX-11NSD-1426-SM-5HL67",-25,"stomach",-0.444024300827898
"GTEX-11NSD-1626-SM-5986U",-25,"colon",-0.343017908255778
