PATIENT_ID	BUFFA_HYPOXIA_SCORE	WINTER_HYPOXIA_SCORE	RAGNUM_HYPOXIA_SCORE
TCGA-AH-6547	-23	-34	-16
TCGA-F5-6571	-23	-26	-12
TCGA-D5-6534	-19	-10	-14
TCGA-A6-5662	-17	-12	-2
TCGA-4N-A93T	-15	-6	-6
TCGA-AY-6196	-13	-34	-8
TCGA-AG-3732	-13	-24	8
TCGA-A6-6652	-13	-20	0
TCGA-DM-A28C	-11	-30	8
TCGA-G5-6641	-11	-16	6
TCGA-G4-6323	-11	-8	-2
TCGA-NH-A6GC	-11	2	-6
TCGA-EI-6514	-9	-26	-6
TCGA-G4-6321	-9	-22	-16
TCGA-D5-6928	-9	-20	12
TCGA-CM-6167	-9	-6	-8
TCGA-CM-6679	-7	-20	8
TCGA-D5-6530	-7	-12	4
TCGA-CM-6161	-5	-16	14
TCGA-CM-5348	-5	-14	0
TCGA-AZ-6599	-5	-10	6
TCGA-F4-6855	-5	2	4
TCGA-CK-5912	-3	-26	14
TCGA-AA-A01X	-3	-22	-4
TCGA-CA-5796	-3	-18	-14
TCGA-CM-6172	-3	-18	8
TCGA-WS-AB45	-3	-12	10
TCGA-CM-6169	-3	-10	4
TCGA-F5-6812	-3	-8	-6
TCGA-A6-6651	-3	-6	16
TCGA-DY-A1DF	-3	-4	-4
TCGA-F5-6811	-3	-4	12
TCGA-AA-3496	-3	-2	8
TCGA-A6-6649	-3	0	12
TCGA-F5-6465	-3	0	14
TCGA-NH-A5IV	-3	6	10
TCGA-AF-6672	-3	12	0
TCGA-AZ-4323	-1	-2	16
TCGA-CM-6680	-1	0	12
TCGA-F5-6864	-1	6	2
TCGA-NH-A6GA	-1	20	10
TCGA-CM-6163	1	-14	6
TCGA-DM-A28E	1	-14	10
TCGA-CM-6170	1	-6	0
TCGA-F4-6806	1	-4	0
TCGA-DY-A1DD	1	0	4
TCGA-DC-6156	1	0	10
TCGA-AA-3713	1	2	16
TCGA-F4-6461	3	-8	10
TCGA-CM-6165	3	-8	12
TCGA-G4-6302	3	-4	0
TCGA-NH-A50V	3	0	6
TCGA-DY-A1DG	3	0	8
TCGA-CM-6162	3	0	20
TCGA-G4-6294	3	2	8
TCGA-AD-6901	3	6	-14
TCGA-A6-2675	3	6	-8
TCGA-D5-6922	3	6	6
TCGA-A6-A5ZU	3	10	-6
TCGA-DM-A1D8	3	10	6
TCGA-AZ-6605	3	14	18
TCGA-3L-AA1B	5	-12	4
TCGA-A6-A567	5	-8	2
TCGA-CA-6716	5	-8	2
TCGA-EI-6506	5	2	4
TCGA-DM-A28G	5	6	14
TCGA-QG-A5Z1	5	6	16
TCGA-AA-3489	5	10	16
TCGA-A6-5660	5	14	14
TCGA-F4-6570	5	16	16
TCGA-CM-5862	5	18	6
TCGA-DC-6157	7	-16	8
TCGA-D5-6533	7	-10	18
TCGA-AG-4022	7	-6	0
TCGA-AU-3779	7	-6	10
TCGA-QG-A5Z2	7	-6	22
TCGA-AF-6136	7	-4	6
TCGA-EI-6884	7	0	16
TCGA-EI-6882	7	2	20
TCGA-SS-A7HO	7	4	14
TCGA-A6-A565	7	6	12
TCGA-A6-6137	7	6	16
TCGA-F5-6464	7	10	-2
TCGA-AD-A5EK	7	10	6
TCGA-AF-A56K	7	12	8
TCGA-AD-6964	7	12	10
TCGA-CM-6164	7	12	14
TCGA-G4-6303	7	12	16
TCGA-AF-4110	7	20	8
TCGA-AZ-6603	9	-4	12
TCGA-CI-6624	9	-4	14
TCGA-F4-6807	9	-2	8
TCGA-A6-5656	9	-2	10
TCGA-EI-6510	9	-2	12
TCGA-CK-4947	9	2	14
TCGA-AH-6644	9	6	14
TCGA-CM-6171	9	8	16
TCGA-DC-6160	9	10	8
TCGA-EI-7004	9	10	22
TCGA-A6-6648	9	12	14
TCGA-AG-3731	9	18	16
TCGA-G4-6293	9	24	6
TCGA-DM-A1D6	9	28	10
TCGA-EI-7002	11	-2	6
TCGA-D5-6924	11	0	18
TCGA-DC-6158	11	2	16
TCGA-NH-A8F7	11	2	16
TCGA-A6-6142	11	8	10
TCGA-CM-5864	11	10	8
TCGA-A6-6141	11	10	20
TCGA-D5-6541	11	12	0
