"","x"
"SL204951.genes.results",1
"SL204955.genes.results",1
"SL204959.genes.results",1
"SL204960.genes.results",0
"SL204966.genes.results",0
"SL204967.genes.results",1
"SL204968.genes.results",1
"SL218335.genes.results",0
"SL218336.genes.results",0
"SL218346.genes.results",1
"SL218347.genes.results",1
"SL218349.genes.results",1
"SL218350.genes.results",0
"SL218351.genes.results",0
"SL242312.genes.results",0
"SL242313.genes.results",0
"SL242314.genes.results",0
"SL242315.genes.results",0
"SL242318.genes.results",1
"SL242320.genes.results",0
"SL242328.genes.results",1
"SL242329.genes.results",1
"SL242330.genes.results",0
"SL242332.genes.results",0
"SL242338.genes.results",1
"SL242339.genes.results",0
"SL242341.genes.results",1
"SL242346.genes.results",1
"SL242347.genes.results",1
"SL242349.genes.results",1
"SL242351.genes.results",1
"SL242352.genes.results",0
"SL242353.genes.results",0
"SL242356.genes.results",0
"SL242361.genes.results",1
"SL242362.genes.results",0
"SL242365.genes.results",0
"SL242366.genes.results",0
"SL242367.genes.results",1
"SL242368.genes.results",1
"SL242376.genes.results",1
"SL242377.genes.results",1
"SL242378.genes.results",1
"SL242379.genes.results",1
"SL242380.genes.results",1
"SL242386.genes.results",0
"SL242387.genes.results",1
"SL242388.genes.results",1
"SL242389.genes.results",1
"SL242390.genes.results",0
"SL242391.genes.results",0
"SL242392.genes.results",0
"SL242404.genes.results",0
"SL242405.genes.results",0
"SL242406.genes.results",1
"SL242407.genes.results",0
"SL242408.genes.results",0
"SL242409.genes.results",0
"SL242411.genes.results",0
"SL242413.genes.results",0
"SL242417.genes.results",1
"SL242418.genes.results",0
"SL242419.genes.results",0
"SL242422.genes.results",1
"SL242423.genes.results",0
"SL242428.genes.results",1
"SL242430.genes.results",0
"SL242432.genes.results",0
"SL242434.genes.results",0
"SL242436.genes.results",0
"SL242437.genes.results",0
"SL242439.genes.results",0
"SL242441.genes.results",0
"SL242442.genes.results",0
"SL242443.genes.results",0
"SL242444.genes.results",0
"SL242445.genes.results",0
"SL242447.genes.results",0
"SL242448.genes.results",0
"SL242449.genes.results",0
"SL242450.genes.results",1
"SL242452.genes.results",0
"SL242454.genes.results",0
"SL242455.genes.results",1
"SL242456.genes.results",0
"SL242458.genes.results",0
"SL242460.genes.results",1
"SL242461.genes.results",1
"SL242462.genes.results",0
"SL242466.genes.results",0
"SL242467.genes.results",0
"SL242468.genes.results",0
"SL242471.genes.results",0
"SL242473.genes.results",0
"SL242476.genes.results",1
"SL242477.genes.results",0
"SL242478.genes.results",0
"SL242482.genes.results",1
"SL242484.genes.results",0
"SL242485.genes.results",1
"SL242486.genes.results",1
"SL242488.genes.results",0
"SL242490.genes.results",0
"SL242492.genes.results",1
"SL242494.genes.results",0
"SL242498.genes.results",0
"SL242500.genes.results",1
"SL243549.genes.results",1
"SL243550.genes.results",0
"SL243551.genes.results",0
"SL243553.genes.results",1
"SL243558.genes.results",0
"SL243561.genes.results",1
"SL243562.genes.results",0
"SL243563.genes.results",0
"SL243564.genes.results",1
"SL243565.genes.results",1
"SL243567.genes.results",1
"SL243568.genes.results",0
"SL243569.genes.results",0
"SL243570.genes.results",0
"SL243571.genes.results",0
"SL243572.genes.results",1
"SL243573.genes.results",0
"SL243574.genes.results",1
"SL243575.genes.results",1
"SL243577.genes.results",0
"SL243578.genes.results",1
"SL243579.genes.results",0
"SL243580.genes.results",0
"SL243581.genes.results",0
"SL243584.genes.results",1
"SL243585.genes.results",0
"SL243586.genes.results",1
"SL243587.genes.results",0
"SL243588.genes.results",0
"SL243589.genes.results",1
"SL243590.genes.results",1
"SL243591.genes.results",1
"SL243593.genes.results",0
"SL243595.genes.results",0
"SL243596.genes.results",1
"SL243597.genes.results",1
"SL243598.genes.results",0
"SL243600.genes.results",1
"SL243602.genes.results",0
"SL243607.genes.results",0
"SL243608.genes.results",1
"SL243610.genes.results",1
"SL243612.genes.results",0
"SL243613.genes.results",0
"SL243617.genes.results",0
"SL243621.genes.results",0
"SL243622.genes.results",1
"SL243623.genes.results",1
"SL243625.genes.results",1
"SL243626.genes.results",0
"SL243630.genes.results",1
"SL243633.genes.results",0
"SL243634.genes.results",0
"SL243635.genes.results",0
"SL243640.genes.results",0
"SL243641.genes.results",0
"SL243645.genes.results",1
"SL243648.genes.results",0
"SL243651.genes.results",0
"SL243655.genes.results",0
"SL243664.genes.results",0
"SL243665.genes.results",0
"SL243666.genes.results",0
"SL243668.genes.results",1
"SL243727.genes.results",1
"SL243728.genes.results",1
"SL250128.genes.results",0
"SL250133.genes.results",1
"SL250134.genes.results",1
"SL250135.genes.results",1
"SL250136.genes.results",0
"SL250140.genes.results",0
"SL250147.genes.results",0
"SL250150.genes.results",0
"SL250152.genes.results",1
"SL250153.genes.results",0
"SL250174.genes.results",1
"SL250175.genes.results",1
"SL250185.genes.results",0
"SL250192.genes.results",1
"SL250199.genes.results",0
"SL251068.genes.results",0
"SL251069.genes.results",0
"SL251070.genes.results",0
"SL251071.genes.results",0
"SL251072.genes.results",0
"SL251078.genes.results",0
"SL251080.genes.results",0
"SL251081.genes.results",0
"SL251088.genes.results",0
"SL251089.genes.results",1
"SL251090.genes.results",0
"SL251093.genes.results",0
"SL251094.genes.results",0
"SL251095.genes.results",0
"SL251096.genes.results",0
"SL251102.genes.results",1
"SL251103.genes.results",0
"SL251104.genes.results",0
"SL251105.genes.results",0
"SL251106.genes.results",0
"SL251107.genes.results",0
"SL251108.genes.results",0
"SL251110.genes.results",0
"SL251111.genes.results",0
"SL251112.genes.results",0
"SL251115.genes.results",0
"SL251116.genes.results",0
"SL251117.genes.results",0
"SL251118.genes.results",0
"SL251119.genes.results",0
"SL251120.genes.results",0
"SL251121.genes.results",0
"SL251122.genes.results",0
"SL251123.genes.results",0
"SL251124.genes.results",0
"SL251125.genes.results",0
"SL251127.genes.results",0
"SL251128.genes.results",1
"SL251129.genes.results",0
"SL251131.genes.results",1
"SL251132.genes.results",0
"SL251133.genes.results",1
"SL251134.genes.results",0
"SL251135.genes.results",0
"SL251136.genes.results",0
"SL251137.genes.results",0
"SL251138.genes.results",1
"SL251139.genes.results",0
"SL251140.genes.results",0
"SL251141.genes.results",0
"SL251142.genes.results",0
"SL251143.genes.results",0
"SL251144.genes.results",1
"SL251145.genes.results",0
"SL251146.genes.results",0
"SL251147.genes.results",0
"SL251149.genes.results",0
"SL251150.genes.results",0
"SL251151.genes.results",0
"SL251152.genes.results",1
"SL251153.genes.results",1
"SL251154.genes.results",0
"SL251155.genes.results",1
"SL251156.genes.results",1
"SL251157.genes.results",0
"SL251158.genes.results",0
"SL251159.genes.results",1
"SL251160.genes.results",0
"SL252348.genes.results",0
"SL252349.genes.results",0
"SL252359.genes.results",0
"SL252360.genes.results",0
"SL252361.genes.results",0
"SL252362.genes.results",1
"SL252363.genes.results",0
"SL252374.genes.results",0
"SL252375.genes.results",0
"SL252386.genes.results",0
"SL252387.genes.results",1
"SL252397.genes.results",0
"SL252398.genes.results",1
"SL252411.genes.results",0
"SL252434.genes.results",0
"SL252435.genes.results",0
"SL252526.genes.results",1
"SL252527.genes.results",1
"SL252575.genes.results",0
"SL252577.genes.results",1
"SL252578.genes.results",0
"SL252579.genes.results",0
"SL252583.genes.results",0
"SL252585.genes.results",0
"SL252844.genes.results",0
"SL252846.genes.results",0
"SL252848.genes.results",0
"SL252849.genes.results",0
"SL252855.genes.results",1
"SL252856.genes.results",0
"SL252857.genes.results",0
"SL252858.genes.results",0
"SL252861.genes.results",0
"SL252871.genes.results",0
"SL252873.genes.results",0
"SL252876.genes.results",0
"SL252885.genes.results",0
"SL253565.genes.results",0
"SL253567.genes.results",0
"SL253580.genes.results",0
"SL253586.genes.results",0
"SL253588.genes.results",1
"SL253603.genes.results",0
"SL253604.genes.results",0
"SL254371.genes.results",0
"SL254372.genes.results",0
"SL254374.genes.results",0
"SL254375.genes.results",0
"SL254376.genes.results",0
"SL254381.genes.results",0
"SL254383.genes.results",0
"SL254384.genes.results",0
"SL254385.genes.results",0
"SL254386.genes.results",0
"SL254387.genes.results",0
"SL254389.genes.results",0
"SL254390.genes.results",0
"SL254391.genes.results",0
"SL254393.genes.results",0
"SL254395.genes.results",0
"SL254397.genes.results",0
"SL254398.genes.results",0
"SL254399.genes.results",0
"SL254401.genes.results",0
"SL254404.genes.results",0
"SL254405.genes.results",0
"SL254406.genes.results",0
"SL254407.genes.results",0
"SL254410.genes.results",0
"SL254411.genes.results",0
"SL254412.genes.results",0
"SL254413.genes.results",0
"SL254415.genes.results",0
"SL254418.genes.results",0
"SL254422.genes.results",0
"SL254424.genes.results",0
"SL254425.genes.results",0
"SL255270.genes.results",0
"SL255271.genes.results",0
