"","estimate","statistic","p.value","method","alternative","microbe","imcell","padj"
"1",0.348367135425666,84559.790304353,0.000666522034655801,"Spearman's rank correlation rho","two.sided","Pichia.kudriavzevii","Monocytes",0.0279939254555436
"2",0.300902167050004,90719.1293905892,0.00356192819591335,"Spearman's rank correlation rho","two.sided","Bacteroides.fragilis","Mast.cells.activated",0.0748004921141803
"3",0.25529164124275,96637.8248824933,0.0140479581867078,"Spearman's rank correlation rho","two.sided","Pichia.kudriavzevii","B.cells.memory",0.147503560960432
"4",-0.25767613894375,163203.601846175,0.013146423571385,"Spearman's rank correlation rho","two.sided","Bacteroides.fragilis","Macrophages.M2",0.147503560960432
"5",0.215621845115823,101785.6156467,0.0389946137651638,"Spearman's rank correlation rho","two.sided","Bacteroides.fragilis","T.cells.follicular.helper",0.272962296356147
"6",0.217322305399053,101564.953717586,0.0374410521811773,"Spearman's rank correlation rho","two.sided","Pichia.kudriavzevii","Mast.cells.resting",0.272962296356147
"7",-0.201755664878315,155947.025608599,0.0537810627341151,"Spearman's rank correlation rho","two.sided","Pichia.kudriavzevii","B.cells.naive",0.32268637640469
"8",-0.191856948140575,154662.50873241,0.0669326058822712,"Spearman's rank correlation rho","two.sided","Pichia.kudriavzevii","Macrophages.M0",0.351396180881924
"9",0.178888665890951,106552.333381995,0.0879761132906882,"Spearman's rank correlation rho","two.sided","Pichia.kudriavzevii","Eosinophils",0.410555195356545
"10",0.168791828728795,107862.559553179,0.107742835470247,"Spearman's rank correlation rho","two.sided","Pichia.kudriavzevii","T.cells.CD8",0.452519908975036
"11",0.15041882375712,110246.750916334,0.152373728744998,"Spearman's rank correlation rho","two.sided","Bacteroides.fragilis","T.cells.CD4.naive",0.551802095513184
"12",-0.139760552178004,147902.167813931,0.183934031837728,"Spearman's rank correlation rho","two.sided","Bacteroides.fragilis","T.cells.regulatory..Tregs.",0.551802095513184
"13",-0.147243635716512,148873.217632389,0.161319219778355,"Spearman's rank correlation rho","two.sided","Bacteroides.fragilis","Mast.cells.resting",0.551802095513184
"14",0.140955882788452,111474.718914074,0.180174511414854,"Spearman's rank correlation rho","two.sided","Bacteroides.fragilis","Eosinophils",0.551802095513184
"15",0.133903192954657,112389.918263046,0.203183756174855,"Spearman's rank correlation rho","two.sided","Bacteroides.fragilis","Dendritic.cells.activated",0.553449646642028
"16",-0.131684896591234,146854.222291058,0.210837960625535,"Spearman's rank correlation rho","two.sided","Pichia.kudriavzevii","TILs",0.553449646642028
