UniRef90,dir,protein name
W4THL1,pos,Lipoprotein
A0A085B4L9,pos,Zn-dependent hydrolase
A0A2B7IE15,neg,LacI family DNA-binding transcriptional regul
D1YAU3,pos,Transcriptional regulator
F9NV88,pos,"Addiction module toxin, RelE/StbE family"
W4TMQ4,pos,WhiB-like transcription regulator
W4TTV3,neg,Transposase
W4TV56,pos,Prepilin peptidase
W4TV80,pos,Transcriptional regulator
W4TWS7,pos,PTS system
W4TZI2,pos,SDR family oxidoreductase
W4TZL6,pos,TetR family transcriptional regulator
W4TZQ1,pos,Biosynthetic aromatic amino acid aminotrans
W4U0R8,pos,Aminoglycoside phosphotransferase
W4U1S1,pos,Diaminopimelate decarboxylase
W4U416,pos,Citrate synthase
W4U596,neg,Phosphinothricin N-acetyltransferase
W4U853,neg,Serine esterase cutinase
W4UBZ5,pos,Amidotransferase
W4UC39,pos,Replicative DNA helicase
A0A2B7IC74,pos,Lactate dehydrogenase
F9NY22,pos,Thiamine-phosphate synthase
K4HN20,pos,Head-to-tail stopper
W4TKL9,pos,"1,4-dihydroxy-2-naphthoyl-CoA synthase"
W4TZH5,pos,Histone
W4U2B7,pos,Apolipoprotein N-acyltransferase
W4U2U2,pos,tRNA (Guanine37-N1)-methyltransferase
W4U5T2,pos,orotidine-5'-phosphate decarboxylase
W4U8I7,pos,ABC transporter
W4U9I6,neg,Poly(3-hydroxyalkanoate) depolymerase
W4UBW6,pos,Transposase
W4UCY7,pos,Na+ efflux ABC transporter
W4ULF9,pos,Biotin carboxylase of acetyl-CoA carboxylase
W4TSV8,pos,Cysteine desulfurase
