"microbe","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold","enriched.in"
"Abalone.shriveling.syndrome.associated.virus",0,NA,NA,NA,NA,NA,NA,NA
"Abelson.murine.leukemia.virus",0.0512529272106688,-0.319163298957017,2.91639312093404,-0.109437680628872,0.912855348394709,NA,NA,"HypoxiaLow"
"Abiotrophia.defectiva",0.0303468715094288,-1.0301182853528,2.91726486572094,-0.353110990180258,0.724005233967273,NA,NA,"HypoxiaLow"
"Abyssicoccus.albus",0.0584687176387464,-1.5018335158475,2.91708231045036,-0.514840980135263,0.606664146174106,NA,NA,"HypoxiaLow"
"Abyssogena.phaseoliformis.symbiont",0,NA,NA,NA,NA,NA,NA,NA
"Acaryochloris.marina",0,NA,NA,NA,NA,NA,NA,NA
"Acetilactobacillus.jinshanensis",0.00799802594522077,-1.23786404018407,2.91764114318041,-0.424268777220051,0.671369807045644,NA,NA,"HypoxiaLow"
"Acetivibrio.clariflavus",0.0645004395732825,-0.180581290343058,2.91603128555163,-0.0619270757614307,0.950620905533865,NA,NA,"HypoxiaLow"
"Acetivibrio.saccincola",0.245905964176817,-2.50257255307003,2.91454053000102,-0.858650798405316,0.390533203081322,NA,NA,"HypoxiaLow"
"Acetivibrio.thermocellus",0,NA,NA,NA,NA,NA,NA,NA
"Acetoanaerobium.sticklandii",0.108761552513256,-0.303806129382827,2.9149649849715,-0.104222908662417,0.916992454488731,NA,NA,"HypoxiaLow"
"Acetobacter.aceti",0,NA,NA,NA,NA,NA,NA,NA
"Acetobacter.ghanensis",0,NA,NA,NA,NA,NA,NA,NA
"Acetobacter.orientalis",0,NA,NA,NA,NA,NA,NA,NA
"Acetobacter.oryzifermentans",0,NA,NA,NA,NA,NA,NA,NA
"Acetobacter.persici",0,NA,NA,NA,NA,NA,NA,NA
"Acetobacter.sp..KACC.21233",0,NA,NA,NA,NA,NA,NA,NA
"Acetobacterium.sp..KB.1",0,NA,NA,NA,NA,NA,NA,NA
"Acetobacterium.woodii",0,NA,NA,NA,NA,NA,NA,NA
"Acetohalobium.arabaticum",0,NA,NA,NA,NA,NA,NA,NA
"Acetomicrobium.mobile",0,0,0,0,1,NA,NA,"HypoxiaHigh"
"Acholeplasma.axanthum",0,NA,NA,NA,NA,NA,NA,NA
"Acholeplasma.brassicae",0,NA,NA,NA,NA,NA,NA,NA
"Acholeplasma.hippikon",0.0101490109828851,-1.27998902208692,2.91754908416323,-0.438720647078343,0.660863964554661,NA,NA,"HypoxiaLow"
"Acholeplasma.laidlawii",0,NA,NA,NA,NA,NA,NA,NA
"Acholeplasma.palmae",0,NA,NA,NA,NA,NA,NA,NA
"Achromobacter.deleyi",0.415023565582851,-3.07777119684418,2.91338518790601,-1.05642439922485,0.290774363610478,0.662014588849014,FALSE,"HypoxiaLow"
"Achromobacter.denitrificans",0,NA,NA,NA,NA,NA,NA,NA
"Achromobacter.insolitus",0,NA,NA,NA,NA,NA,NA,NA
"Achromobacter.pestifer",0,0,0,0,1,NA,NA,"HypoxiaHigh"
"Achromobacter.phage.Mano",0,NA,NA,NA,NA,NA,NA,NA
"Achromobacter.phage.phiAxp.2",0,NA,NA,NA,NA,NA,NA,NA
"Achromobacter.ruhlandii",0,0,0,0,1,NA,NA,"HypoxiaHigh"
"Achromobacter.sp..AONIH1",0,NA,NA,NA,NA,NA,NA,NA
"Achromobacter.sp..B7",0,NA,NA,NA,NA,NA,NA,NA
"Achromobacter.sp..ES.001",0,NA,NA,NA,NA,NA,NA,NA
"Achromobacter.sp..MFA1.R4",0,NA,NA,NA,NA,NA,NA,NA
"Achromobacter.spanius",0.00870981618475032,-1.26322434862265,2.9175854074514,-0.432969107055587,0.665037213272021,NA,NA,"HypoxiaLow"
"Achromobacter.virus.Motura",0,NA,NA,NA,NA,NA,NA,NA
"Achromobacter.xylosoxidans",0.42973269871676,-0.0535158202239414,2.90817247640145,-0.01840187288003,0.985318258354243,0.996964181979657,FALSE,"HypoxiaLow"
"Acidaminococcus.fermentans",0.0398395099731536,-0.792197499262903,2.91750380307495,-0.271532636368102,0.78598140202535,NA,NA,"HypoxiaLow"
"Acidaminococcus.intestini",0.27270997444647,-2.23939340812975,2.19085137480664,-1.02215669847864,0.306706741515241,NA,NA,"HypoxiaLow"
"Acidianus.ambivalens",0,NA,NA,NA,NA,NA,NA,NA
"Acidianus.brierleyi",0,NA,NA,NA,NA,NA,NA,NA
"Acidianus.hospitalis",0,NA,NA,NA,NA,NA,NA,NA
"Acidianus.manzaensis",0.0702893522403922,-0.689080833636727,1.86486358340082,-0.369507367600636,0.7117495825836,NA,NA,"HypoxiaLow"
"Acidianus.sulfidivorans",0.00275179014530781,-1.18974772621833,2.91774031636874,-0.407763404969165,0.68344738274994,NA,NA,"HypoxiaLow"
"Acidibrevibacterium.fodinaquatile",0,NA,NA,NA,NA,NA,NA,NA
"Acidiferrobacter.sp..SPIII_3",0,NA,NA,NA,NA,NA,NA,NA
"Acidihalobacter.aeolianus",0,NA,NA,NA,NA,NA,NA,NA
"Acidihalobacter.ferrooxydans",0,NA,NA,NA,NA,NA,NA,NA
"Acidihalobacter.yilgarnenesis",0,NA,NA,NA,NA,NA,NA,NA
"Acidilobus.saccharovorans",0,NA,NA,NA,NA,NA,NA,NA
"Acidimicrobium.ferrooxidans",0.00975008024471138,-1.0162711649256,2.91776476907997,-0.348304693954494,0.727611369033493,NA,NA,"HypoxiaLow"
"Acidiphilium.multivorum",0,NA,NA,NA,NA,NA,NA,NA
"Acidipropionibacterium.acidipropionici",0,NA,NA,NA,NA,NA,NA,NA
"Acidipropionibacterium.jensenii",0,NA,NA,NA,NA,NA,NA,NA
"Acidipropionibacterium.virtanenii",0,NA,NA,NA,NA,NA,NA,NA
"Acidisarcina.polymorpha",0,NA,NA,NA,NA,NA,NA,NA
"Acidithiobacillus.caldus",0,NA,NA,NA,NA,NA,NA,NA
"Acidithiobacillus.ferrivorans",0,NA,NA,NA,NA,NA,NA,NA
"Acidithiobacillus.ferrooxidans",0,NA,NA,NA,NA,NA,NA,NA
"Acidithiobacillus.thiooxidans",0,NA,NA,NA,NA,NA,NA,NA
"Acidobacterium.capsulatum",0,NA,NA,NA,NA,NA,NA,NA
"Acidobacterium.sp..4Y35",0,NA,NA,NA,NA,NA,NA,NA
"Acidothermus.cellulolyticus",0.00354575268517472,-1.08492202549168,2.91778905521627,-0.371830178590915,0.710019292851409,NA,NA,"HypoxiaLow"
"Acidovorax.antarcticus",0.586751692983608,1.69644555661629,2.90866225131635,0.58323910101578,0.559732352347357,0.797915851535796,FALSE,"HypoxiaHigh"
"Acidovorax.avenae",0.231357069220848,-2.0901705132867,2.73104045148489,-0.765338540536908,0.444069979913089,NA,NA,"HypoxiaLow"
"Acidovorax.carolinensis",0.314170333494245,-2.10517924632122,2.8656481293547,-0.734625868667022,0.462567378984181,NA,NA,"HypoxiaLow"
"Acidovorax.cattleyae",0,NA,NA,NA,NA,NA,NA,NA
"Acidovorax.citrulli",0,0,0,0,1,NA,NA,"HypoxiaHigh"
"Acidovorax.ebreus",0,NA,NA,NA,NA,NA,NA,NA
"Acidovorax.monticola",0,NA,NA,NA,NA,NA,NA,NA
