"microbe","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold","enriched.in"
"Abalone.shriveling.syndrome.associated.virus",0,NA,NA,NA,NA,NA,NA,NA
"Abelson.murine.leukemia.virus",0.123219590514437,-1.08505365518895,2.39482311919665,-0.453083004958183,0.650488972606137,0.816218647155471,FALSE,"HypoxiaLow"
"Abiotrophia.defectiva",0.153681598934542,-0.963654900886807,1.97925798237663,-0.48687685459259,0.626345602099389,0.805538359016157,FALSE,"HypoxiaLow"
"Abyssicoccus.albus",0.0155864517302604,-0.891179479000422,2.89366919631524,-0.307975590345724,0.758100906271346,NA,NA,"HypoxiaLow"
"Abyssogena.phaseoliformis.symbiont",0,NA,NA,NA,NA,NA,NA,NA
"Acaryochloris.marina",0.000868820305730259,-0.797480383833956,2.89370372002788,-0.275591581237028,0.782861776552326,NA,NA,"HypoxiaLow"
"Acetilactobacillus.jinshanensis",0.00812725974362513,-0.831910206813368,2.89368866474285,-0.287491262259652,0.773736191399058,NA,NA,"HypoxiaLow"
"Acetivibrio.clariflavus",0.0588013485412019,-0.475801818605167,2.89362811745279,-0.164430880297088,0.869391955445669,NA,NA,"HypoxiaLow"
"Acetivibrio.saccincola",0.0722623465759336,-1.1323597480415,2.89348348871505,-0.391348266702694,0.695539826251747,NA,NA,"HypoxiaLow"
"Acetivibrio.thermocellus",0.00685805070035231,-0.847816287946454,2.89367228706934,-0.292989738933122,0.769529994857352,NA,NA,"HypoxiaLow"
"Acetoanaerobium.sticklandii",0.032507949090979,-0.698738930015965,2.8403111993349,-0.246007877650725,0.805676134388473,NA,NA,"HypoxiaLow"
"Acetobacter.aceti",0.00851243555735272,-0.807747004113986,2.89367329610237,-0.279142432976791,0.780135520017579,NA,NA,"HypoxiaLow"
"Acetobacter.ghanensis",0,NA,NA,NA,NA,NA,NA,NA
"Acetobacter.orientalis",0.0213674652642209,-0.832364741557679,2.89369678749309,-0.287647532787562,0.77361655594624,NA,NA,"HypoxiaLow"
"Acetobacter.oryzifermentans",0.00148658770457731,-0.832364741253732,2.89369678749322,-0.287647532682511,0.773616556026662,NA,NA,"HypoxiaLow"
"Acetobacter.persici",0.00344679161590938,-0.862490779508321,2.89368348288749,-0.298059820505204,0.765657507112073,NA,NA,"HypoxiaLow"
"Acetobacter.sp..KACC.21233",0.00493384900739774,-0.797480383833957,2.89370372002788,-0.275591581237029,0.782861776552326,NA,NA,"HypoxiaLow"
"Acetobacterium.sp..KB.1",0,NA,NA,NA,NA,NA,NA,NA
"Acetobacterium.woodii",0.00503984693092094,-0.884883748316022,2.8936724736805,-0.305799552770576,0.759757269006073,NA,NA,"HypoxiaLow"
"Acetohalobium.arabaticum",0.00814439815653623,-0.857084785096904,2.89366749845938,-0.296193251489062,0.767082502277067,NA,NA,"HypoxiaLow"
"Acetomicrobium.mobile",0.0467024144243619,-0.64157426130013,2.89367710511797,-0.221715913004044,0.824535041619872,NA,NA,"HypoxiaLow"
"Acholeplasma.axanthum",0.000590527535544635,-0.821863147914087,2.89370140585847,-0.284017952318845,0.77639662296026,NA,NA,"HypoxiaLow"
"Acholeplasma.brassicae",0.00471247686244144,-0.871066227695516,2.8936794132447,-0.30102374980053,0.7633963842618,NA,NA,"HypoxiaLow"
"Acholeplasma.hippikon",0.00270549921706839,-0.851576878479332,2.89368835635729,-0.294287695704501,0.768538073995498,NA,NA,"HypoxiaLow"
"Acholeplasma.laidlawii",0.00252059409739501,-0.84925602324947,2.89368936893335,-0.293485552515443,0.769151040983218,NA,NA,"HypoxiaLow"
"Acholeplasma.palmae",0,NA,NA,NA,NA,NA,NA,NA
"Achromobacter.deleyi",0.40042877531834,-2.79129175312483,1.63142531834012,-1.71095282250787,0.0870898222490576,0.310528415983065,FALSE,"HypoxiaLow"
"Achromobacter.denitrificans",0.0151363674414172,-0.811775492852429,2.89366166029665,-0.280535732283645,0.779066515184268,NA,NA,"HypoxiaLow"
"Achromobacter.insolitus",0.00140305714746418,-0.8323647412478,2.89369678749322,-0.28764753268046,0.773616556028232,NA,NA,"HypoxiaLow"
"Achromobacter.pestifer",0.150295245495251,-1.48345696349452,2.36975968928693,-0.625994682161589,0.531318429364885,0.762803887729189,FALSE,"HypoxiaLow"
"Achromobacter.phage.Mano",0,NA,NA,NA,NA,NA,NA,NA
"Achromobacter.phage.phiAxp.2",0,NA,NA,NA,NA,NA,NA,NA
"Achromobacter.ruhlandii",0,0,0,0,1,NA,NA,"HypoxiaHigh"
"Achromobacter.sp..AONIH1",0.151377886600647,-1.32222413947597,2.89340419324344,-0.456978718204519,0.647686342263115,0.815200109096423,FALSE,"HypoxiaLow"
"Achromobacter.sp..B7",0,NA,NA,NA,NA,NA,NA,NA
"Achromobacter.sp..ES.001",0,NA,NA,NA,NA,NA,NA,NA
"Achromobacter.sp..MFA1.R4",0.0129725751889245,-0.702377455767718,2.89369442488432,-0.242726892559084,0.808216973095833,NA,NA,"HypoxiaLow"
"Achromobacter.spanius",0.0748291374523003,-0.566807786190596,2.78555756009512,-0.203480909642822,0.838759165460218,NA,NA,"HypoxiaLow"
"Achromobacter.virus.Motura",0,NA,NA,NA,NA,NA,NA,NA
"Achromobacter.xylosoxidans",0.483378412132874,-2.55469158964914,1.81213535176761,-1.40976863960919,0.158608009454246,0.462900412777578,FALSE,"HypoxiaLow"
"Acidaminococcus.fermentans",0.142421652288039,-0.320290886770686,1.16232651068475,-0.275560166464754,0.782885907999529,0.867671020398915,FALSE,"HypoxiaLow"
"Acidaminococcus.intestini",0.479042178879766,-1.11589446147594,0.822277861373079,-1.35707710725979,0.174756711590334,0.491815316904225,FALSE,"HypoxiaLow"
"Acidianus.ambivalens",0,NA,NA,NA,NA,NA,NA,NA
"Acidianus.brierleyi",0.00166762233364135,-0.797480383833956,2.89370372002788,-0.275591581237029,0.782861776552326,NA,NA,"HypoxiaLow"
"Acidianus.hospitalis",0.00318872173431111,-0.832364741336011,2.89369678749318,-0.287647532710948,0.773616556004892,NA,NA,"HypoxiaLow"
"Acidianus.manzaensis",0.209507873170431,-1.06878847773646,0.551941497422159,-1.93641623746036,0.0528167423624749,0.221380813732076,FALSE,"HypoxiaLow"
"Acidianus.sulfidivorans",0.0126772262256277,-0.974434921504894,2.89362412040568,-0.336752418751707,0.736303544401682,NA,NA,"HypoxiaLow"
"Acidibrevibacterium.fodinaquatile",0,NA,NA,NA,NA,NA,NA,NA
"Acidiferrobacter.sp..SPIII_3",0,NA,NA,NA,NA,NA,NA,NA
"Acidihalobacter.aeolianus",0,NA,NA,NA,NA,NA,NA,NA
"Acidihalobacter.ferrooxydans",0.00850925091605266,-0.8335051868418,2.89367928430221,-0.288043388693227,0.773313526068459,NA,NA,"HypoxiaLow"
"Acidihalobacter.yilgarnenesis",0.00741780326959732,-0.784895976963066,2.89369222780468,-0.271243765809377,0.78620355396495,NA,NA,"HypoxiaLow"
"Acidilobus.saccharovorans",0,NA,NA,NA,NA,NA,NA,NA
"Acidimicrobium.ferrooxidans",0.00867702513801502,-0.856519752020546,2.8936677925196,-0.295997956031694,0.767231642345426,NA,NA,"HypoxiaLow"
