"X..Gene.Family","DSpakowicz002_1_R153_S1","DSpakowicz002_11_R153_S11","DSpakowicz002_12_R153_S12","DSpakowicz002_13_R153_S13","DSpakowicz002_14_R153_S14","DSpakowicz002_15_R153_S15","DSpakowicz002_16_R153_S16","DSpakowicz002_17_R153_S17","DSpakowicz002_18_R153_S18","DSpakowicz002_19_R153_S19","DSpakowicz002_2_R153_S2","DSpakowicz002_3_R153_S3","DSpakowicz002_5_R153_S5","DSpakowicz002_6_R153_S6","DSpakowicz002_7_R153_S7","DSpakowicz002_8_R153_S8","DSpakowicz002_9_R153_S9"
"UNMAPPED",7426713,7359022,12367173,9983053,4569939,7694721,11201969,7652601,8208264,11801639,4232552,11869232,6797676,9330557,8897802,5582687,11666314
"UniRef90_UPI000E251655",26303021.2674595,27623986.5495649,43834060.48421,36484212.2220564,15602026.2560739,26177874.3294476,38858784.3909402,28186539.0707976,29874179.1538511,44553960.7516923,13556562.8893841,44656431.3386173,23475313.9633133,27393879.3426123,29136781.5559774,17012435.0887855,40293323.2737372
"UniRef90_UPI000E251655|g__Cutibacterium.s__Cutibacterium_acnes",26303021.2674595,27623986.5495649,43834060.48421,36484212.2220564,15602026.2560739,26177874.3294476,38858784.3909402,28186539.0707976,29874179.1538511,44553960.7516923,13556562.8893841,44656431.3386173,23475313.9633133,27393879.3426123,29136781.5559774,17012435.0887855,40293323.2737372
"UniRef90_A0A315RX83",539295.51885182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407683.617511567
"UniRef90_A0A315RX83|g__Staphylococcus.s__Staphylococcus_epidermidis",539295.51885182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407683.617511567
"UniRef90_A0A0V1KI72",390748.272207431,283334.330881391,1016796.12417065,579311.842103706,355117.602752836,400384.467020812,912982.358083108,522632.281270918,443465.360137468,778274.58039487,915993.708896368,382305.721093527,602900.056990111,682953.594179936,597256.459348717,614541.220016666,679488.609303832
"UniRef90_A0A0V1KI72|unclassified",390748.272207431,283334.330881391,1016796.12417065,579311.842103706,355117.602752836,400384.467020812,912982.358083108,522632.281270918,443465.360137468,778274.58039487,915993.708896368,382305.721093527,602900.056990111,682953.594179936,597256.459348717,614541.220016666,679488.609303832
"UniRef90_UPI000E21C467",156158.611078024,29700.2386245913,87217.7951841146,39887.5531450913,18181.8291404935,107963.250116061,55633.5993073514,37848.9428251922,31902.5148405099,73414.3771793521,17257.3537198641,82430.4624336973,24245.7235226749,64796.3165561477,68306.574554567,21750.0283812492,51141.6045796905
"UniRef90_UPI000E21C467|g__Cutibacterium.s__Cutibacterium_acnes",156158.611078024,29700.2386245913,87217.7951841146,39887.5531450913,18181.8291404935,107963.250116061,55633.5993073514,37848.9428251922,31902.5148405099,73414.3771793521,17257.3537198641,82430.4624336973,24245.7235226749,64796.3165561477,68306.574554567,21750.0283812492,51141.6045796905
"UniRef90_A0A1X6RL43",92020.715015038,85092.1081645278,231025.393799473,109357.549792286,59801.4210354613,91175.0509065084,165485.992706042,105599.240522323,107346.279926797,153902.44371432,190891.273541211,79109.5563983982,113694.130027784,151894.04106527,142793.658539466,121288.165092902,138870.586290863
"UniRef90_A0A1X6RL43|unclassified",92020.715015038,85092.1081645278,231025.393799473,109357.549792286,59801.4210354613,91175.0509065084,165485.992706042,105599.240522323,107346.279926797,153902.44371432,190891.273541211,79109.5563983982,113694.130027784,151894.04106527,142793.658539466,121288.165092902,138870.586290863
"UniRef90_UPI000A366CE3",90186.6863759479,87396.1666416064,280143.867169375,145790.650277105,71441.1460129407,86452.4626202338,157056.253178548,120709.064692488,139118.984050152,202146.47302889,229685.294373079,118805.178592207,133086.302334906,144333.762758248,161768.148819981,156973.451125501,180188.851432755
"UniRef90_UPI000A366CE3|unclassified",90186.6863759479,87396.1666416064,280143.867169375,145790.650277105,71441.1460129407,86452.4626202338,157056.253178548,120709.064692488,139118.984050152,202146.47302889,229685.294373079,118805.178592207,133086.302334906,144333.762758248,161768.148819981,156973.451125501,180188.851432755
"UniRef90_A0A0V1DQR8",87963.9842797164,55612.5275448107,140918.753284191,70983.0318087358,39798.0343817424,99227.5679626903,146171.431391908,76756.820517554,68520.5269229808,94348.7785141493,110745.804298873,41870.1795556217,92236.4422120192,156497.282579097,113860.958771688,84565.8294782515,82719.1291777823
"UniRef90_A0A0V1DQR8|unclassified",87963.9842797164,55612.5275448107,140918.753284191,70983.0318087358,39798.0343817424,99227.5679626903,146171.431391908,76756.820517554,68520.5269229808,94348.7785141493,110745.804298873,41870.1795556217,92236.4422120192,156497.282579097,113860.958771688,84565.8294782515,82719.1291777823
"UniRef90_F6ZRP0",77822.6475358904,58280.3772678747,126290.141661608,91419.7830770642,47134.1776421263,87885.9849834656,129912.58836731,75367.8687368132,70411.7457617314,73608.3742328993,76379.7221167597,85631.7553139359,94528.9227432159,143898.001324533,123225.918891882,83296.4222054488,100686.091698382
"UniRef90_F6ZRP0|unclassified",77822.6475358904,58280.3772678747,126290.141661608,91419.7830770642,47134.1776421263,87885.9849834656,129912.58836731,75367.8687368132,70411.7457617314,73608.3742328993,76379.7221167597,85631.7553139359,94528.9227432159,143898.001324533,123225.918891882,83296.4222054488,100686.091698382
"UniRef90_Q7R7C4",70404.144983085,54996.7327069294,125221.439972786,63197.8380044768,31590.8349419575,79868.9889582449,105526.535576866,74718.0360997716,61133.2480531075,84623.0616458937,114297.926103633,44835.2330438528,70736.9388263178,117376.311748556,83870.0545926413,68940.9784768544,79398.861656312
"UniRef90_Q7R7C4|unclassified",70404.144983085,54996.7327069294,125221.439972786,63197.8380044768,31590.8349419575,79868.9889582449,105526.535576866,74718.0360997716,61133.2480531075,84623.0616458937,114297.926103633,44835.2330438528,70736.9388263178,117376.311748556,83870.0545926413,68940.9784768544,79398.861656312
"UniRef90_A0A0V1CFQ8",63002.0387519897,38509.1798633685,91503.5765058435,10202.8944742638,2897.291321053,21615.3950941807,67070.6716166262,30346.5032048382,10141.027623045,70389.9494401775,81384.810826475,24389.044422587,54195.5978297201,127405.471856134,58752.4419784057,49130.9040446678,62943.7563405427
"UniRef90_A0A0V1CFQ8|unclassified",63002.0387519897,38509.1798633685,91503.5765058435,10202.8944742638,2897.291321053,21615.3950941807,67070.6716166262,30346.5032048382,10141.027623045,70389.9494401775,81384.810826475,24389.044422587,54195.5978297201,127405.471856134,58752.4419784057,49130.9040446678,62943.7563405427
"UniRef90_A0A1X6RL77",54862.6642645743,36265.7242411451,183964.742522024,81372.1446880253,49667.7315699736,55994.3995922949,164122.962087364,53657.1543921938,110514.969868624,106570.366077498,133669.634568377,55232.6324911281,83000.52696044,98884.0042637292,61627.7236180684,101208.750420589,94950.08259723
"UniRef90_A0A1X6RL77|unclassified",54862.6642645743,36265.7242411451,183964.742522024,81372.1446880253,49667.7315699736,55994.3995922949,164122.962087364,53657.1543921938,110514.969868624,106570.366077498,133669.634568377,55232.6324911281,83000.52696044,98884.0042637292,61627.7236180684,101208.750420589,94950.08259723
"UniRef90_Q7R7M0",45451.6117054699,28013.6354049466,66988.7646533134,26397.2960847737,12070.2632789852,35271.921103336,52025.4056486616,33468.0976747067,27309.9103277598,43388.0696790033,58670.8491393598,19325.5327604803,34089.1914961882,101891.610714045,44095.7104093243,32014.3077854712,39476.1075251737
"UniRef90_Q7R7M0|unclassified",45451.6117054699,28013.6354049466,66988.7646533134,26397.2960847737,12070.2632789852,35271.921103336,52025.4056486616,33468.0976747067,27309.9103277598,43388.0696790033,58670.8491393598,19325.5327604803,34089.1914961882,101891.610714045,44095.7104093243,32014.3077854712,39476.1075251737
"UniRef90_UPI000B3F2D90",40971.2833237624,24042.4447249709,83635.264819327,46164.6390374248,24444.1451828489,37243.8354141122,32307.7251589995,33661.237800715,42667.5211702549,70109.1046256616,70525.8390279115,42859.2147460784,47361.8601511752,67717.6693195614,34784.6464938642,52891.1408333067,62428.7778591645
"UniRef90_UPI000B3F2D90|unclassified",40971.2833237624,24042.4447249709,83635.264819327,46164.6390374248,24444.1451828489,37243.8354141122,32307.7251589995,33661.237800715,42667.5211702549,70109.1046256616,70525.8390279115,42859.2147460784,47361.8601511752,67717.6693195614,34784.6464938642,52891.1408333067,62428.7778591645
"UniRef90_Q7R7S5",40007.1284455355,24263.3081092291,75448.304068495,59170.5358402133,28369.9201382631,35477.8391589019,29804.0535388149,35942.954279155,46155.5611990189,83461.7403007995,87747.8811250208,53683.5911193163,54593.7799859108,67001.3709583376,35290.3829072124,61456.2053365922,76720.3069031638
"UniRef90_Q7R7S5|unclassified",40007.1284455355,24263.3081092291,75448.304068495,59170.5358402133,28369.9201382631,35477.8391589019,29804.0535388149,35942.954279155,46155.5611990189,83461.7403007995,87747.8811250208,53683.5911193163,54593.7799859108,67001.3709583376,35290.3829072124,61456.2053365922,76720.3069031638
"UniRef90_UPI000A3857F4",38291.2706817567,35392.002654975,105656.186443494,51206.161895335,25292.1871014596,46824.4707275668,94950.8884585452,52554.2297159201,49716.5168330859,64121.9848381553,93689.7399280292,33111.9568587818,51835.3092958343,76610.3200440344,80579.7833618405,55485.1291931737,55048.1812389631
"UniRef90_UPI000A3857F4|unclassified",38291.2706817567,35392.002654975,105656.186443494,51206.161895335,25292.1871014596,46824.4707275668,94950.8884585452,52554.2297159201,49716.5168330859,64121.9848381553,93689.7399280292,33111.9568587818,51835.3092958343,76610.3200440344,80579.7833618405,55485.1291931737,55048.1812389631
"UniRef90_Q7R7B7",37487.9502699224,18070.0566822451,35434.7564392007,23373.353776832,11407.2041467623,30271.1167379051,39692.2550741806,19367.2306451679,20102.6242531994,23886.558337256,21044.813277966,17551.8457111877,36988.7327239992,52939.9956137097,37915.2101076247,19706.9043211166,27991.1990053931
"UniRef90_Q7R7B7|unclassified",37487.9502699224,18070.0566822451,35434.7564392007,23373.353776832,11407.2041467623,30271.1167379051,39692.2550741806,19367.2306451679,20102.6242531994,23886.558337256,21044.813277966,17551.8457111877,36988.7327239992,52939.9956137097,37915.2101076247,19706.9043211166,27991.1990053931
"UniRef90_UPI00070A6C2B",28826.6848621185,19496.2168249063,40852.6443349182,28815.0990268982,14934.9111437002,30387.4665290043,45805.9352849574,26124.2610901332,23864.4803890224,21315.2730756963,24230.9620066083,21893.1728800554,31525.0483075801,54793.4432909382,43805.4841343207,27243.4609926684,33492.1703762939
"UniRef90_UPI00070A6C2B|unclassified",28826.6848621185,19496.2168249063,40852.6443349182,28815.0990268982,14934.9111437002,30387.4665290043,45805.9352849574,26124.2610901332,23864.4803890224,21315.2730756963,24230.9620066083,21893.1728800554,31525.0483075801,54793.4432909382,43805.4841343207,27243.4609926684,33492.1703762939
"UniRef90_A0A0E9DBL9",28239.262959188,21293.4750032341,45847.1722233145,28839.8369724715,18511.1653308557,33125.1494863164,59402.0815528465,27833.7979837413,25800.7451071795,18484.139390484,23901.3656977374,16617.3678611898,34649.4736658499,58426.9620724663,49676.1194058791,30817.4723166888,32733.5900384207
"UniRef90_A0A0E9DBL9|unclassified",28239.262959188,21293.4750032341,45847.1722233145,28839.8369724715,18511.1653308557,33125.1494863164,59402.0815528465,27833.7979837413,25800.7451071795,18484.139390484,23901.3656977374,16617.3678611898,34649.4736658499,58426.9620724663,49676.1194058791,30817.4723166888,32733.5900384207
"UniRef90_UPI000A37540A",25579.0954587365,17179.3966131052,34560.7630753475,24336.1061712149,13067.6138432757,26191.7557757861,41227.2677444238,24732.2723539968,19715.9307819824,18785.040063703,22248.6752570356,18730.0359827363,28977.1518595655,50840.7898586974,37953.8930546483,23782.1006886825,27042.8929677814
"UniRef90_UPI000A37540A|unclassified",25579.0954587365,17179.3966131052,34560.7630753475,24336.1061712149,13067.6138432757,26191.7557757861,41227.2677444238,24732.2723539968,19715.9307819824,18785.040063703,22248.6752570356,18730.0359827363,28977.1518595655,50840.7898586974,37953.8930546483,23782.1006886825,27042.8929677814
"UniRef90_A0A1X6RMS8",24923.9427951878,23576.4695581382,77554.2615414792,37670.9802391942,19709.2664053341,22437.5235560803,125735.769134217,46471.2474862339,51453.4125107596,54646.7856398125,59631.9787577881,35064.486355267,35817.7241073086,42875.9037629845,40688.9019697229,41324.4594648113,51121.7307837575
"UniRef90_A0A1X6RMS8|unclassified",24923.9427951878,23576.4695581382,77554.2615414792,37670.9802391942,19709.2664053341,22437.5235560803,125735.769134217,46471.2474862339,51453.4125107596,54646.7856398125,59631.9787577881,35064.486355267,35817.7241073086,42875.9037629845,40688.9019697229,41324.4594648113,51121.7307837575
"UniRef90_A0A0E2EN80",24435.8120177438,15376.8824126755,40391.5109472312,19967.2841108676,8802.1246754924,21651.0308445463,32475.7667472922,26822.5679260652,21469.490555498,29956.2687451153,33961.2735015581,18652.4900922639,24143.3934160496,49348.5811221378,26225.3056163265,21314.4404008755,27158.3462200652
"UniRef90_A0A0E2EN80|unclassified",24435.8120177438,15376.8824126755,40391.5109472312,19967.2841108676,8802.1246754924,21651.0308445463,32475.7667472922,26822.5679260652,21469.490555498,29956.2687451153,33961.2735015581,18652.4900922639,24143.3934160496,49348.5811221378,26225.3056163265,21314.4404008755,27158.3462200652
"UniRef90_A0A1X6RMB0",22935.8696919011,19460.8528538708,54559.7151943992,22160.1594486586,8132.6208485365,22487.6157922519,43877.9920024666,29624.3431402286,23359.3863775317,31667.986497716,46376.6932583298,14467.9138426965,25367.1287953224,36280.9403312787,32671.7129877102,25116.1692726994,31202.3697784432
"UniRef90_A0A1X6RMB0|unclassified",22935.8696919011,19460.8528538708,54559.7151943992,22160.1594486586,8132.6208485365,22487.6157922519,43877.9920024666,29624.3431402286,23359.3863775317,31667.986497716,46376.6932583298,14467.9138426965,25367.1287953224,36280.9403312787,32671.7129877102,25116.1692726994,31202.3697784432
"UniRef90_UPI000B3F5494",22686.479875931,15680.9003817288,30675.7028530966,16233.8695962436,8032.5919235214,21120.5673863949,25721.6963875194,22947.5901684123,17666.1509124517,23293.9829534293,24869.4346316741,14131.5638675322,20261.2453638125,47099.7892645595,25622.7903665567,17691.0746317039,21876.1859398095
"UniRef90_UPI000B3F5494|unclassified",22686.479875931,15680.9003817288,30675.7028530966,16233.8695962436,8032.5919235214,21120.5673863949,25721.6963875194,22947.5901684123,17666.1509124517,23293.9829534293,24869.4346316741,14131.5638675322,20261.2453638125,47099.7892645595,25622.7903665567,17691.0746317039,21876.1859398095
"UniRef90_A0A1X6RKQ1",22266.5028551169,14448.3812332494,62876.1867551686,31124.226518587,15523.8118147881,19930.0377340378,25337.8509758664,27459.2483410317,34358.2200199316,47487.2454771174,52083.9491183258,29902.8935354315,30026.043734977,38112.5281421572,38431.314889798,34475.0533975713,41683.5540576934
"UniRef90_A0A1X6RKQ1|unclassified",22266.5028551169,14448.3812332494,62876.1867551686,31124.226518587,15523.8118147881,19930.0377340378,25337.8509758664,27459.2483410317,34358.2200199316,47487.2454771174,52083.9491183258,29902.8935354315,30026.043734977,38112.5281421572,38431.314889798,34475.0533975713,41683.5540576934
"UniRef90_A0A0V1DP63",21909.7142921859,11431.4155078669,61749.4209081487,23669.1960537127,10789.3180635514,19491.9241472779,23560.5417529238,17980.7862701039,19617.5960849668,33557.6143311098,37903.8804594108,22431.9604098423,24274.6637488166,36698.0851865183,23283.1926255389,25066.6261091139,31686.1853639718
"UniRef90_A0A0V1DP63|unclassified",21909.7142921859,11431.4155078669,61749.4209081487,23669.1960537127,10789.3180635514,19491.9241472779,23560.5417529238,17980.7862701039,19617.5960849668,33557.6143311098,37903.8804594108,22431.9604098423,24274.6637488166,36698.0851865183,23283.1926255389,25066.6261091139,31686.1853639718
"UniRef90_UPI000B3F641F",21844.1094264382,54522.2579617318,63753.5297043509,33462.1911057684,17384.460514004,23547.1986122903,66678.1831313851,53827.1777575582,31144.4402430495,42969.5003852496,53962.6821941562,22489.8090640794,31581.3879723296,35291.0042979909,44925.6010784699,34826.1775246295,39256.6167099948
"UniRef90_UPI000B3F641F|unclassified",21844.1094264382,54522.2579617318,63753.5297043509,33462.1911057684,17384.460514004,23547.1986122903,66678.1831313851,53827.1777575582,31144.4402430495,42969.5003852496,53962.6821941562,22489.8090640794,31581.3879723296,35291.0042979909,44925.6010784699,34826.1775246295,39256.6167099948
"UniRef90_Q7RAY5",19721.3312933882,13768.8149365816,29497.3692692138,19737.7668137126,12976.2860712972,20989.9470672848,36878.4559644208,18559.8716769124,16791.4598426396,12428.8641776987,16675.997691977,13214.6563544841,24617.2985472593,39851.9436468224,32210.0801067536,20755.7856268017,22655.3962268806
"UniRef90_Q7RAY5|unclassified",19721.3312933882,13768.8149365816,29497.3692692138,19737.7668137126,12976.2860712972,20989.9470672848,36878.4559644208,18559.8716769124,16791.4598426396,12428.8641776987,16675.997691977,13214.6563544841,24617.2985472593,39851.9436468224,32210.0801067536,20755.7856268017,22655.3962268806
"UniRef90_A0A0V0Z0G4",19475.7176867512,10706.2568376467,24475.5139848912,12654.9333380296,5765.1107437742,17543.5804395342,20440.4292623626,14743.585179188,14288.2600477209,19414.8418520473,20554.5904315344,13209.8872248943,18293.3743223569,38662.1857020969,17649.5244507161,13677.0043544273,17575.2647800565
"UniRef90_A0A0V0Z0G4|unclassified",19475.7176867512,10706.2568376467,24475.5139848912,12654.9333380296,5765.1107437742,17543.5804395342,20440.4292623626,14743.585179188,14288.2600477209,19414.8418520473,20554.5904315344,13209.8872248943,18293.3743223569,38662.1857020969,17649.5244507161,13677.0043544273,17575.2647800565
"UniRef90_Q7R846",18176.9483772278,11884.6572740149,25675.3468732771,17609.8348675531,9937.789731869,19556.7826027265,29827.2519273106,17231.6090432002,14242.344934824,13008.0828461415,15409.2909595616,12921.1098080008,20532.3743132434,36326.8271776388,26522.4450065477,17460.216098069,20203.09184464
"UniRef90_Q7R846|unclassified",18176.9483772278,11884.6572740149,25675.3468732771,17609.8348675531,9937.789731869,19556.7826027265,29827.2519273106,17231.6090432002,14242.344934824,13008.0828461415,15409.2909595616,12921.1098080008,20532.3743132434,36326.8271776388,26522.4450065477,17460.216098069,20203.09184464
"UniRef90_UPI000A39023D",18147.6081381365,9636.5610982265,55132.3940893833,27764.684181511,9816.2646457786,15873.7299635672,44368.10591968,28191.9529341448,25595.8358869687,37549.8818685463,44880.2501432776,17268.6273558491,22561.6651909686,31595.8223132988,32752.4858330559,27887.0204689453,32581.0439110027
"UniRef90_UPI000A39023D|unclassified",18147.6081381365,9636.5610982265,55132.3940893833,27764.684181511,9816.2646457786,15873.7299635672,44368.10591968,28191.9529341448,25595.8358869687,37549.8818685463,44880.2501432776,17268.6273558491,22561.6651909686,31595.8223132988,32752.4858330559,27887.0204689453,32581.0439110027
"UniRef90_UPI000A27C165",17977.7431560983,12593.2942070921,39398.6200801573,20500.7648816762,10691.177917137,17001.0756404466,29745.9580446499,20933.1547624124,19967.7887404719,29341.0040038381,32581.4249634126,15504.7830451248,21827.8622542194,35158.3858320023,21907.7075477318,21885.2046489382,25751.6498382992
"UniRef90_UPI000A27C165|unclassified",17977.7431560983,12593.2942070921,39398.6200801573,20500.7648816762,10691.177917137,17001.0756404466,29745.9580446499,20933.1547624124,19967.7887404719,29341.0040038381,32581.4249634126,15504.7830451248,21827.8622542194,35158.3858320023,21907.7075477318,21885.2046489382,25751.6498382992
"UniRef90_Q7R7I2",17885.0613553443,11085.5709529062,23575.460857531,16357.3151673828,7656.6148529935,18249.8152989566,26789.880378003,16335.7715599169,13702.6249104818,13635.4363132767,15691.8777986631,13962.4653916711,21412.6889399388,34951.9729128857,25380.9716795399,16339.0331655002,20359.1776673949
"UniRef90_Q7R7I2|unclassified",17885.0613553443,11085.5709529062,23575.460857531,16357.3151673828,7656.6148529935,18249.8152989566,26789.880378003,16335.7715599169,13702.6249104818,13635.4363132767,15691.8777986631,13962.4653916711,21412.6889399388,34951.9729128857,25380.9716795399,16339.0331655002,20359.1776673949
"UniRef90_A0A1X6RMI6",17858.9006855841,13934.1889507554,43996.7311527654,21293.3659081639,8621.8515099471,16425.7309311701,32368.6473624382,26173.6708913518,21116.4122664131,28959.7639201562,38098.0071831802,17867.5562481588,20090.2674678723,41184.1001363528,27191.6024604894,22222.3890864852,27660.5195017406
"UniRef90_A0A1X6RMI6|unclassified",17858.9006855841,13934.1889507554,43996.7311527654,21293.3659081639,8621.8515099471,16425.7309311701,32368.6473624382,26173.6708913518,21116.4122664131,28959.7639201562,38098.0071831802,17867.5562481588,20090.2674678723,41184.1001363528,27191.6024604894,22222.3890864852,27660.5195017406
"UniRef90_UPI000A3689B1",17014.0822181355,26104.6717224657,38540.2604924871,19518.6101211769,9410.6492597952,24779.684668199,39366.2454568785,27436.3636191519,23969.9561512106,27113.4684967681,30435.1246395597,15671.6898196501,42316.7251352506,30868.0129106517,26674.5740646231,21135.7753097023,24652.6963746972
