"species","HazardRatio","p.value"
"BuffaHigh:s__ Candida  glabrata",432422.531670811,"***"
"BuffaHigh:s__Bulleidia sp  zg 1006",0.00743587614348582,"***"
"BuffaHigh:s__Fusobacterium canifelinum",0.00884819342409013,"***"
"BuffaHigh:s__Bacillus anthracis",0.024955656639149,"*"
"BuffaHigh:s__Pyricularia pennisetigena",0.0997978230494808,"*"
"BuffaHigh:s__Burkholderia cepacia",0.0344210708449982,"*"
"BuffaHigh:s__Pseudobutyrivibrio xylanivorans",0.068562909051521,"*"
"BuffaHigh:s__Campylobacter jejuni",0.0690899703489531,"*"
"BuffaHigh:s__Campylobacter coli",0.0442862803579097,"*"
"BuffaHigh:s__Muribaculum intestinale",0.0462344737596208,"*"
"BuffaHigh:s__Bacillus subtilis",0.164606654542578,"*"
